"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
BacLieu,23/07/2019,044257,70040,64269,94042,85962,79984,99474,00198,99850,17866,99628,70138,3462,0250,7732,8124,379,66
BacLieu,16/07/2019,747081,55684,40179,33514,79978,06170,91550,50069,10315,04896,74387,97581,5266,0070,8731,6484,893,12
BacLieu,09/07/2019,365899,82336,50532,93587,22153,10159,47408,84747,20290,30481,29251,88032,9735,2638,8561,5609,529,62
BacLieu,02/07/2019,695653,76982,05861,43715,11019,58654,27002,99023,40504,76009,10975,42574,1436,4344,8113,6341,417,73
BacLieu,25/06/2019,309279,51805,60706,81717,97917,53858,35518,33753,11742,60189,80863,50515,3511,4531,4374,7439,085,23
BacLieu,11/06/2019,438532,27858,46467,35069,50406,37512,31144,31033,76997,83585,52766,82003,4827,7916,7135,9254,343,17
BacLieu,04/06/2019,524329,10869,19024,76707,12060,71213,09487,62657,11379,13238,05278,47262,0591,6282,9427,7584,488,35
BacLieu,28/05/2019,683295,95056,23493,81281,24017,05385,91549,55068,76734,14169,04774,19107,6962,2538,6163,2924,168,55
BacLieu,21/05/2019,036258,29122,86883,53587,55989,38516,95840,82653,73140,56293,59780,20802,7135,7325,3124,9214,693,43
BacLieu,14/05/2019,276267,25644,44714,33677,26627,59670,48212,25176,75698,10514,11825,81738,5631,6945,8640,5041,958,06
BacLieu,07/05/2019,224033,80801,18413,74060,80036,20563,07669,83555,70856,57285,10135,56979,2249,1461,7553,6765,187,16
BacLieu,30/04/2019,951717,51554,12055,94756,82858,67836,10755,21671,66491,95222,42875,79972,1297,0616,2539,9478,113,07
BacLieu,23/04/2019,840287,54503,35563,24879,87443,89316,80939,45766,27599,19650,12417,63898,0435,0562,1818,5133,932,82
BacLieu,26/03/2019,659761,38575,88882,00665,58542,68289,62942,43596,86289,90534,50460,80240,0739,4534,4914,6671,669,44
BacLieu,19/03/2019,210528,43700,77861,50359,79959,58331,15556,51519,88673,43090,27603,39763,7475,9662,3138,8246,344,25
BacLieu,12/03/2019,869197,94612,32844,39764,84829,81382,90209,19359,93368,47202,29803,54340,5265,9705,5653,7496,293,65
BacLieu,05/03/2019,605026,71920,34194,86783,22983,78761,33714,41811,24810,87109,47022,39516,5520,7551,2409,3834,775,90
BacLieu,26/02/2019,342173,09820,92940,67631,65486,00473,30578,50114,16676,61305,26984,39572,0677,3849,9561,7639,163,54
BacLieu,19/02/2019,603130,71799,46555,94186,65721,77353,29307,82387,38900,75165,56063,18718,0371,7385,7391,4928,748,90
BacLieu,12/02/2019,526660,76496,36675,44623,06620,17321,52236,69851,73606,15414,82087,22903,5008,7914,9666,5241,048,06
BacLieu,05/02/2019,377932,19274,03228,13573,39347,70843,93194,38728,54846,87369,32656,30787,9055,8220,3590,5704,614,67
BacLieu,29/01/2019,362246,92384,41253,45931,83334,41525,16980,71364,56363,36327,47373,23585,4911,2142,8096,3575,244,37
BacLieu,22/01/2019,547765,43089,24149,10785,89842,01171,73611,37189,28550,53234,86848,64081,3841,9126,6512,4887,903,77
BacLieu,15/01/2019,146217,51208,53123,71127,07388,30516,87927,33386,52207,48598,23723,72733,9722,9623,2166,4293,814,17
BacLieu,08/01/2019,939875,71899,35953,64769,15866,66586,44210,41629,80060,12876,24486,64469,5224,6005,2417,0646,354,33
BacLieu,01/01/2019,865528,68383,53434,76691,05759,28420,07066,44793,73990,17346,86775,67823,4575,1530,5382,7663,687,94
BacLieu,25/12/2018,394436,56565,32486,10290,58614,56555,83738,33478,36801,96915,79388,09438,7383,8175,1650,9731,743,64
BacLieu,18/12/2018,067845,12981,24125,73949,96945,03497,57492,35795,45721,90313,02528,31828,9801,8070,3382,0396,368,71
BacLieu,11/12/2018,835437,30366,57112,64743,43635,49661,97507,28667,20009,36721,55151,07709,3836,6668,2757,4395,234,25
BacLieu,04/12/2018,849612,14093,84993,06408,36948,11264,58780,98634,77132,53389,21400,16695,5072,2445,9400,0649,872,42
BacLieu,27/11/2018,630698,65419,14682,85984,36088,31529,89804,34743,68331,05772,51546,73205,5865,9245,1012,7008,564,82
BacLieu,20/11/2018,403411,37778,04940,30269,51207,76573,82028,07751,92561,06062,68799,61257,0610,6823,8438,1899,764,28
BacLieu,13/11/2018,631826,93537,27250,60274,27108,52454,73044,60237,35086,16822,78158,76976,2047,7278,0642,5207,584,12
BacLieu,06/11/2018,571188,71170,53184,20369,75128,56260,24072,09002,95318,01799,11222,33476,0623,2235,2045,5888,970,59
BacLieu,30/10/2018,986955,31425,89257,71829,75841,00222,28667,16435,32758,33827,54270,85060,4989,1103,6464,7990,139,02
BacLieu,23/10/2018,063867,47209,92100,29011,11869,85005,73545,63893,41755,24162,39368,08294,1879,4138,2372,7112,640,87
