"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
BinhPhuoc,27/07/2019,564131,34896,83128,26240,57729,94259,74348,01057,91993,13796,20088,16873,6531,6398,0907,3221,670,21
BinhPhuoc,20/07/2019,101204,96946,60801,06294,65609,14941,51970,59907,58437,84617,26815,44004,0468,4086,2550,3088,420,63
BinhPhuoc,13/07/2019,382454,15365,82468,98712,90658,95968,95497,25178,37473,66612,70906,57219,9878,0579,6032,1466,393,83
BinhPhuoc,06/07/2019,820295,58079,23156,20311,89425,86386,05394,94254,00357,83498,21966,24924,4052,0599,6283,9506,700,80
BinhPhuoc,22/06/2019,031192,09700,98691,93180,20976,76019,22315,46121,73136,88283,59298,35236,2237,7787,6174,0865,934,15
BinhPhuoc,15/06/2019,334053,33439,54833,23438,16297,99495,70522,14726,12844,23631,49041,64614,2334,9098,8095,4000,983,91
BinhPhuoc,08/06/2019,949729,54508,10981,63996,93531,82961,93396,97709,34904,28132,52579,89136,8966,5662,8774,7389,049,87
BinhPhuoc,01/06/2019,582188,06514,56590,72287,88621,10456,92044,81643,23771,03305,88295,22553,7559,3023,3734,0176,601,34
BinhPhuoc,25/05/2019,779952,37768,22362,55964,90148,78716,88901,27198,17339,89465,72078,79880,4577,8641,0284,7562,050,77
BinhPhuoc,18/05/2019,783106,74212,32510,03343,30758,34478,93108,97293,47512,25818,93386,93516,3679,7327,7489,3981,224,43
BinhPhuoc,11/05/2019,236733,45702,74914,88161,00192,56796,87397,49865,13993,37572,12888,65268,9615,9389,9088,7292,269,35
BinhPhuoc,04/05/2019,052182,20806,94409,39504,80237,06281,56037,29174,93183,68547,52744,68141,6905,8382,3339,0236,063,76
BinhPhuoc,27/04/2019,760767,52856,80063,16550,75476,17899,21587,74301,46310,19852,85832,81810,3828,7210,5537,0711,087,49
BinhPhuoc,20/04/2019,644700,21702,37951,00502,85716,24774,43838,34408,25729,21516,67654,22133,7379,5367,6220,5469,312,35
BinhPhuoc,30/03/2019,316534,16888,61130,21311,39856,85107,53283,53955,30946,90934,18968,93613,4535,1557,0342,0585,659,23
BinhPhuoc,16/03/2019,502257,23319,56329,27549,47748,84553,27255,79385,78395,21850,69623,13467,8061,0260,6645,6938,938,89
BinhPhuoc,09/03/2019,680435,40839,85654,71119,27155,20872,96429,94411,41527,55219,08822,19571,4144,3783,2493,8181,256,72
BinhPhuoc,02/03/2019,688017,74735,17910,12118,57873,02936,88490,84527,93008,94710,81356,97701,3129,1662,9542,1958,165,27
BinhPhuoc,23/02/2019,337221,06299,40260,35215,32107,54652,13461,32928,11728,57380,28368,91334,6507,0255,8971,9760,640,40
BinhPhuoc,16/02/2019,954909,92076,57433,31767,33036,89319,66505,86830,32142,66429,21909,52492,6428,7383,0821,7052,217,48
BinhPhuoc,09/02/2019,695366,24501,80782,82120,81289,03546,03279,71845,44080,21920,58172,15750,2192,5768,0622,5635,531,05
BinhPhuoc,19/01/2019,033769,59762,61703,56452,41362,64485,29179,92495,53201,75001,29650,37016,8060,5397,2357,6295,609,29
BinhPhuoc,12/01/2019,332059,44916,19108,15478,41043,78496,16324,92989,96661,87839,35232,68266,6073,7840,9617,3138,341,89
BinhPhuoc,05/01/2019,232195,33080,53656,38047,23453,70887,13543,74457,72215,44202,98713,64537,6644,8238,7607,9278,594,24
BinhPhuoc,29/12/2018,571982,71772,47251,48236,85227,75247,67892,65349,51936,73691,85393,25288,0296,3400,5786,1036,463,48
BinhPhuoc,22/12/2018,330561,97592,54171,84428,72576,30647,92214,17249,19236,07919,74350,67269,1429,8657,6256,2483,321,24
BinhPhuoc,15/12/2018,564319,35813,06457,70524,91177,96430,17810,57765,71454,33190,38080,78705,6474,6546,1898,7738,554,53
BinhPhuoc,01/12/2018,731941,14654,19346,85185,12335,22842,03400,57204,87831,35524,59111,97172,4565,8538,9529,0354,701,88
BinhPhuoc,24/11/2018,842953,08067,35213,65937,70890,13722,91201,54923,03377,78448,35949,48047,0394,5828,3814,0723,099,83
BinhPhuoc,17/11/2018,720492,85903,88886,62952,92496,62262,53610,86728,71203,74897,04398,76571,2280,5003,9802,4722,665,42
BinhPhuoc,10/11/2018,113999,52141,71828,56294,96441,05387,51624,43885,10108,01398,71614,49785,4330,7191,3196,3809,925,66
