"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
CanTho,2019/07/24,809382,63106,93810,78406,32762,47597,66922,17666,00869,34136,96899,42570,8364,6315,8677,0816,273,13
CanTho,2019/07/17,865377,26567,55973,92288,09230,72296,61974,11757,83263,04494,25977,06351,1564,5498,9918,3404,249,71
CanTho,2019/07/10,969920,69105,34723,73334,92396,23028,72480,80536,20411,26469,54321,27767,2036,4407,6801,9522,052,47
CanTho,2019/07/03,861681,94338,61705,17628,14026,10678,96744,28423,05755,25489,97504,68505,9907,7856,9168,2001,316,99
CanTho,2019/06/26,848867,56752,87709,59577,90051,87499,85216,03648,67989,26230,43365,31033,7120,2286,6833,7362,818,47
CanTho,2019/06/19,022979,88807,62335,60224,40916,24287,10085,50910,92520,35888,78335,07968,2551,7414,4128,2148,721,93
CanTho,2019/06/12,433086,37870,16349,70289,75044,47124,10142,57716,92707,78010,06644,46924,7782,7081,1264,2482,668,26
CanTho,2019/06/05,071363,57266,84099,45066,08306,70045,87964,88388,47111,15183,46714,66381,5301,5877,4808,8517,092,93
CanTho,2019/05/29,192507,17209,81574,73948,65829,80736,51952,40788,55063,00202,38595,38535,8945,4281,7195,2846,633,58
CanTho,2019/05/22,467245,25514,62429,77228,82301,59433,03364,64231,34870,28638,32937,15171,8903,8254,7078,7105,816,56
CanTho,2019/05/15,797311,42676,03550,42964,18024,1315,99001,14938,29107,97485,35514,64050,7306,9777,7678,3197,649,86
CanTho,2019/05/08,585515,80453,90125,81697,06942,32571,65903,42559,49432,54815,46226,48937,9989,4447,5646,2719,347,49
CanTho,2019/05/01,970586,02275,98817,81060,01378,38661,40416,41273,96769,79477,44004,86736,6202,9424,5790,6143,490,66
CanTho,2019/04/24,775183,94803,19440,60083,76588,41948,86194,93597,78619,30585,61554,99842,4556,5728,0145,5220,837,14
CanTho,2019/04/17,140283,65675,42198,74944,12361,75915,87285,44785,58483,37658,88513,09743,6100,7978,9064,6521,099,37
CanTho,2019/04/03,411578,30865,76003,79098,23361,62675,63373,65955,19067,82364,76356,75892,2980,6848,5564,9587,321,89
CanTho,2019/03/27,786765,74805,49954,58948,78543,32297,94227,92015,12251,07203,07093,04138,7222,4026,5534,3649,166,20
CanTho,2019/03/20,728327,20684,61284,60718,34281,85629,90197,76429,57349,52405,65909,55639,1086,4200,0951,2068,254,77
CanTho,2019/03/06,636091,00315,52418,74523,39370,45524,18610,12178,83517,56735,31506,53192,9525,8818,4173,1049,110,87
CanTho,2019/02/27,396436,71800,23293,23191,37771,15813,96886,42279,02966,66284,06979,71653,6309,1144,4779,2423,048,25
CanTho,2019/02/20,945454,46058,57255,34098,52855,92243,56858,92920,35748,56061,27380,02604,4077,4260,2239,3676,501,38
CanTho,2019/02/13,736968,40825,50003,80477,22768,32686,04626,05297,60218,31471,72515,73556,6569,7579,7463,8033,537,88
CanTho,2019/02/06,105313,46229,72320,59907,03501,65559,37044,06309,42944,00256,11072,17120,7536,8785,3246,7122,390,80
CanTho,2019/01/30,346643,41780,44809,54817,88699,03122,52725,65687,49119,03449,42474,06291,2937,7599,6907,0233,481,02
CanTho,2019/01/23,688037,71358,94249,61009,35753,79776,24780,71056,82415,15395,71662,23377,8675,7885,4139,2814,208,11
