"name","created_date","giai_dac_biet","giai_nhat","giai_nhi","giai_ba_1","giai_ba_2","giai_tu_1","giai_tu_2","giai_tu_3","giai_tu_4","giai_tu_5","giai_tu_6","giai_tu_7","giai_nam","giai_sau_1","giai_sau_2","giai_sau_3","giai_bay","giai_tam"
DaNang,2019/07/27,687648,23612,37353,03882,35334,56678,28037,16138,39330,56848,84608,30608,7154,9980,8754,7767,085,16
DaNang,2019/07/24,528735,96941,82388,62689,39170,65312,64224,36710,13092,41575,98932,77157,1015,0294,5310,5622,190,77
DaNang,2019/07/20,407171,45480,27435,60663,80731,17256,95041,60544,81268,90386,87810,76583,9208,2090,4818,3685,488,63
DaNang,2019/07/17,072745,80069,47134,01655,07571,71777,68894,28611,00418,78569,88813,43223,3110,6026,0729,3489,398,76
DaNang,2019/07/13,426173,62177,54383,53139,76840,63900,18966,40754,11375,81753,20627,37240,8428,9744,6004,9379,793,20
DaNang,2019/07/10,832738,93298,96571,25984,13773,52044,87504,51542,18002,06279,61963,39987,3884,4265,1062,9772,540,36
DaNang,2019/07/03,016167,31230,95048,58315,74860,22389,87524,02326,82289,41418,44608,01956,5390,4438,0605,2534,804,16
DaNang,2019/06/26,413217,23906,13046,49493,60212,58297,13165,89385,23153,90571,24691,36030,8539,3851,8212,5683,734,08
DaNang,2019/06/22,522502,17177,44544,14080,83572,13424,55485,26051,04769,64542,32786,67016,8421,5361,4457,1154,623,39
DaNang,2019/06/15,495709,90409,61209,86041,66886,15913,57136,03306,87433,39888,07694,69448,2275,4702,9751,7269,348,58
DaNang,2019/06/12,475522,47414,10772,47715,96299,66685,97423,95494,45713,04301,01260,36659,0963,3099,6268,7244,949,47
DaNang,2019/06/08,327305,50235,82320,06345,48915,74794,23823,93164,33405,30123,05843,71369,9862,5512,4286,3401,945,19
DaNang,2019/06/05,857095,72223,33332,80224,37028,22942,99405,68299,29793,13035,58637,45591,0812,8336,9516,1125,061,38
DaNang,2019/06/01,592267,32192,74433,25582,55436,76676,11653,96477,77436,75488,11517,00673,2895,1990,5676,1953,187,94
DaNang,2019/05/29,960012,88708,60763,56588,79535,30352,21627,31380,40328,61639,21633,64085,1887,7704,0378,6536,792,68
DaNang,2019/05/25,779823,19166,26703,98776,56826,25879,96806,89084,38592,89571,86328,02958,1712,4922,0605,8453,841,05
DaNang,2019/05/22,295586,39181,71755,57260,93730,49002,05398,33734,13187,92207,78605,04927,7671,1456,1630,6054,284,04
DaNang,2019/05/18,375866,12315,83737,20423,98749,16164,61625,52424,04386,03948,45131,06165,2145,6206,4798,8318,770,07
DaNang,2019/05/15,991417,08672,25221,75236,42227,94092,48312,04345,79312,78154,53785,26315,4138,3432,3117,7585,234,66
DaNang,2019/05/11,460505,34338,33285,69086,15100,80669,34058,25785,32800,04197,23020,55432,1881,0681,1581,7262,535,82
DaNang,2019/05/08,333501,51814,53985,04900,06528,80171,15961,92387,46339,93204,55638,17934,0940,6610,6197,1130,552,74
DaNang,2019/05/04,210362,45607,90992,20285,55652,41665,35111,00839,23292,38665,46238,65672,7287,9891,5645,5383,589,62
DaNang,2019/05/01,801345,93690,87270,71217,87214,46379,68988,56374,05269,75853,05960,85909,0290,7017,3480,3527,235,29
DaNang,2019/04/24,136091,24947,00952,01850,86769,31575,74626,70230,78039,76292,94272,36608,6539,6876,2893,9175,005,26
DaNang,2019/04/20,684676,92758,21648,71795,47066,82577,82882,62909,59695,04510,58078,34852,6892,3424,0267,6417,052,24
DaNang,2019/04/17,933261,45144,82423,83482,11144,09257,62175,81909,42216,91278,60013,32595,1756,5327,5671,5953,237,12
DaNang,2019/04/03,936554,46340,83949,62965,83261,80645,04741,94909,20458,73172,25866,83273,3236,6689,4758,2320,715,48
DaNang,2019/03/30,880052,44311,35369,91883,27542,66255,07704,48870,96482,50481,43076,53211,2901,3994,0157,5212,671,98
DaNang,2019/03/27,741885,30603,47836,14542,63590,33516,42869,47275,04350,11395,27189,31768,2227,3209,4866,4595,993,98
DaNang,2019/03/20,989705,17772,45694,65834,66911,65283,44010,08216,90881,36002,62705,04267,6384,3790,9756,7910,230,64
DaNang,2019/03/16,957123,59794,28506,11603,80431,90782,58711,62290,44321,62982,71865,04602,8932,2814,2527,9735,421,18
DaNang,2019/03/09,840864,05623,15259,60622,37922,72749,23974,86064,46610,42253,40447,95661,0819,4364,1697,5121,238,95
DaNang,2019/03/06,364030,23481,63945,74803,46994,30272,40442,23027,63304,12827,82919,36335,2919,6464,8875,5550,549,59
DaNang,2019/03/02,530120,69463,53575,94968,32769,09315,64082,22936,98849,42989,96181,70144,5659,0413,8565,8283,625,62
DaNang,2019/02/27,386063,48214,03860,82225,01269,36216,23913,45469,70296,75407,41682,58247,6763,0028,1368,0043,237,96
DaNang,2019/02/23,011093,29507,51405,18576,06526,47897,51753,82428,23867,28105,72468,41438,1786,4615,0651,3863,232,71
DaNang,2019/02/20,180234,47878,19104,04373,83377,36049,07115,82573,31718,69508,90262,10917,4931,6776,3813,5589,258,37
DaNang,2019/02/16,808663,42350,32388,24031,27745,10503,97321,51921,80533,63708,76417,53726,6442,6146,4793,4170,201,69
DaNang,2019/02/13,009802,23100,49326,34668,09054,01459,51218,34431,14972,90011,17886,45347,8806,7462,2265,0111,827,50
DaNang,2019/02/09,875871,06588,80884,82523,20669,43725,00406,54811,29327,33217,67832,67681,0081,0922,1717,0865,470,73
DaNang,2019/02/06,828237,24469,09185,39999,93656,95302,65241,90698,13264,10706,66875,74362,3265,6765,2414,8084,118,18
DaNang,2019/02/02,220410,63787,01209,56530,90508,06705,34193,11193,26254,84465,54679,28226,1678,7061,6959,1406,054,85
DaNang,2019/01/30,483857,14787,38239,88483,24417,53828,26466,88778,00490,56077,76429,35928,4125,9201,1519,2392,211,06
DaNang,2019/01/23,068543,07503,06737,04423,87780,76198,58847,97335,67126,45018,00405,54069,1298,7664,2314,1168,950,61
DaNang,2019/01/19,630115,63309,50841,65472,68530,33941,56766,81711,66884,01014,48079,24589,4856,7552,1603,9784,875,99
DaNang,2019/01/16,673475,02845,46105,36413,71060,04453,18857,85226,24659,01275,39620,79053,9329,6712,0166,5135,236,52
DaNang,2019/01/12,950224,34523,59170,21765,05340,38988,49471,59474,20689,65666,63386,65058,5034,5758,1549,4878,746,11
DaNang,2019/01/09,660796,30218,51059,93434,72090,53250,69205,35123,82925,21998,81206,23326,2635,1721,7377,3556,909,20
DaNang,2019/01/05,038004,41110,11885,22854,90718,93586,09174,25645,70133,56789,51819,16941,2246,4281,6105,5320,416,79
DaNang,2019/01/02,544025,25573,53380,65281,08252,73894,15834,66389,04792,81947,36877,27734,9479,6860,4650,9523,663,91
DaNang,2018/12/29,436318,70299,64499,27089,25389,45273,24334,70751,78164,28464,82047,87577,1881,4894,7428,1374,218,84
DaNang,2018/12/26,107610,63514,12870,17518,59802,15951,16176,31596,72208,09703,08139,53282,1064,8647,9849,4470,283,32
DaNang,2018/12/22,751693,23678,43351,89499,45966,56781,92797,95746,36593,58822,77642,97623,0687,5169,2733,4949,438,32
DaNang,2018/12/19,183405,28344,34680,88137,28291,48023,72332,55176,55115,12549,99727,47024,2687,1565,6150,1736,510,23
DaNang,2018/12/12,263545,28016,20862,23280,54578,32421,51227,41792,69452,18006,99378,97713,0614,1558,6596,7397,362,86
DaNang,2018/12/05,669590,71728,85215,84070,08695,85683,16640,06352,58767,05928,70038,41805,3693,0809,1738,7619,996,35
DaNang,2018/12/01,487435,82710,06658,10874,17932,04295,31061,83508,82034,13202,70799,79620,6107,0578,1925,2896,849,36
DaNang,2018/11/28,759570,34802,91090,62071,84391,14551,28326,15754,46446,17315,98630,27031,2540,2694,8674,6421,407,57
DaNang,2018/11/24,830441,81438,94530,90624,97623,27124,94883,27618,43610,05922,64816,79948,4608,7016,6615,5488,912,38
DaNang,2018/11/21,391325,72921,69646,20765,57711,12975,17479,48483,45570,44670,55773,72532,7207,1819,0750,8010,390,05
DaNang,2018/11/17,795499,64367,83397,02653,03793,72325,34427,22493,58221,67140,57963,02407,6357,6021,8930,9845,699,26
DaNang,2018/11/14,100046,81241,74712,61381,80772,91767,17951,87614,06868,18207,73744,26864,0125,8592,0539,4237,414,71
DaNang,2018/11/10,237156,20039,95333,27855,66462,25594,75750,12050,56492,69249,48781,13074,0616,9631,4920,6487,030,25
DaNang,2018/11/07,190540,43417,77373,19941,75449,15679,50298,93683,58468,68033,17510,60407,4727,6892,8816,6740,761,51
DaNang,2018/11/03,272595,48959,14369,49475,71542,59785,74710,46016,71268,96165,34278,94588,9604,7900,4001,7123,880,21
DaNang,2018/10/31,289956,08410,98087,51978,89929,69817,00630,87278,97395,80794,58712,80110,0229,1448,0815,8854,352,56
DaNang,2018/10/27,670846,40286,27572,85579,59017,54341,47819,51259,41168,63735,66420,81899,2169,6666,5895,9301,904,18
DaNang,2018/10/24,293227,81578,33208,95063,08575,22438,83602,54569,05986,49139,52857,88599,6375,2136,5853,8169,437,04
DaNang,2018/10/20,505916,09757,84419,23265,20049,94632,38566,29810,38075,50344,00594,91440,7200,1058,7114,0103,874,05
