"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
DacNong,2019/07/27,248948,22433,36402,66007,83683,40990,01400,83639,16254,07686,26219,28011,4120,8459,0573,5450,162,63
DacNong,2019/07/20,068427,05110,80990,00848,27136,21418,10308,10135,14050,40844,60130,52138,9189,2289,2078,1473,052,67
DacNong,2019/07/13,990175,79526,50278,92098,59020,36597,15274,50231,40413,25349,88960,88127,2204,4295,8798,3157,882,78
DacNong,2019/06/22,911602,82683,95239,76849,52367,77052,71835,97330,39349,76722,12579,10765,2474,8678,8684,6524,047,54
DacNong,2019/06/15,974703,49526,40037,98685,51872,19502,71793,14857,40319,43849,65007,67365,6004,4238,7806,9893,453,15
DacNong,2019/06/08,012494,26616,94340,55433,21646,00544,77661,38021,13370,67741,47373,85229,9600,6947,6752,1191,463,51
DacNong,2019/06/01,006174,21866,78773,30090,93189,66260,37938,34839,01508,55344,83090,21033,6285,2376,6633,7869,762,13
DacNong,2019/05/25,328457,23285,34531,58007,05724,80160,15075,42527,41656,90434,53978,88161,6487,8999,4276,3813,388,88
DacNong,2019/05/18,857537,93505,25715,42236,13818,15604,42980,43440,07001,94831,02276,19224,3425,7738,0477,3152,402,02
DacNong,2019/05/11,054897,82113,08099,33336,44008,85041,39627,38116,84517,01971,45030,52560,8070,0415,6314,7301,740,22
DacNong,2019/05/04,817734,22102,22777,11229,47656,47606,32038,52475,12421,02661,63355,28629,2549,1574,4225,0802,065,95
DacNong,2019/04/20,954427,36983,83757,47515,85272,50477,71958,65078,19860,87089,97563,44927,3600,5622,1701,9855,157,74
DacNong,2019/03/30,325603,09308,38689,41258,60917,44689,60548,47672,74819,86210,49299,89846,2920,8130,5768,2819,074,77
DacNong,2019/03/16,436119,68764,00275,76719,82964,70645,11629,66540,91109,55308,55775,11135,6668,7386,5908,8575,683,99
DacNong,2019/03/09,183211,77079,66682,08299,30501,32960,78632,54871,46994,48215,22236,81311,4773,3537,4685,9458,793,62
DacNong,2019/03/02,531490,21814,24576,38093,12915,83005,70877,07173,82448,24975,91068,29521,4798,1858,5179,5566,960,94
