"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
DongThap,22/07/2019,553529,94337,32418,12719,01822,05671,87813,32039,01507,22490,97007,70575,0909,7684,6920,3572,548,02
DongThap,15/07/2019,113191,01972,07920,13058,62067,49047,92068,88324,05672,39651,98235,78626,6031,6829,2322,3726,284,37
DongThap,08/07/2019,670458,24327,26377,90586,20194,05320,71165,11481,59872,28495,17277,25278,3875,7923,1208,6293,570,01
DongThap,01/07/2019,251305,17875,14429,61781,67972,24179,45582,60749,57849,84716,92641,94948,2779,1545,1168,1136,062,39
DongThap,24/06/2019,266948,13603,84172,55540,38123,91601,41227,62297,18964,33287,86843,05391,6864,1682,7889,5488,167,20
DongThap,17/06/2019,917431,71098,32023,40255,75990,70469,32319,01109,48637,90197,93787,67776,6406,3101,8078,3010,466,05
DongThap,10/06/2019,067911,58781,76877,46111,11571,25136,34359,98565,70317,62967,67563,21278,9254,1296,2072,7436,992,97
DongThap,03/06/2019,381285,14644,54502,95457,84908,21223,21136,17621,10465,53960,23742,40785,2232,1565,3993,4794,399,31
DongThap,27/05/2019,311622,04509,43557,65195,51553,11352,15476,45582,62726,09264,38635,01789,5931,7267,0425,5932,769,85
DongThap,20/05/2019,899473,60158,32913,04197,15260,09459,85219,27878,21361,58759,68216,57383,1784,6471,0194,7456,034,30
DongThap,13/05/2019,336860,85912,40914,25699,05107,15682,04749,65467,31743,75775,71168,47950,7732,5341,2116,5935,537,04
DongThap,06/05/2019,891919,35113,03155,04811,74896,00691,76961,95535,63775,10605,57840,34083,2570,9965,3983,3076,692,68
DongThap,29/04/2019,626876,95831,20597,06237,66286,99232,26559,42924,55451,70680,87035,96608,6375,4221,8927,2631,529,83
DongThap,22/04/2019,038280,51153,78134,80496,18335,28839,76303,82887,79326,10330,01888,81303,8213,3401,5651,7723,526,73
DongThap,08/04/2019,994908,16051,94017,85786,71995,05319,54813,86450,68298,08204,78213,08603,3862,1144,4779,2423,601,40
DongThap,01/04/2019,399553,80152,68017,70733,18057,58651,26771,03809,12080,07874,74193,89057,9340,9419,2295,7409,224,18
DongThap,25/03/2019,819623,17628,09957,60752,42671,87031,36937,08939,54808,28132,02434,36222,0155,2987,3619,4383,586,26
DongThap,18/03/2019,397520,97931,08714,66001,41325,83438,61392,73738,24520,70452,33475,86884,7106,8365,0990,5636,185,56
DongThap,11/03/2019,242943,79414,19018,50531,49080,78169,16497,13672,08552,08783,48318,53557,2937,9551,7412,7660,443,62
DongThap,04/03/2019,798057,15140,13158,73780,71023,08277,36852,26134,02566,71546,48369,70410,9946,8158,9884,1178,144,70
DongThap,25/02/2019,388512,63136,16426,04842,95861,94218,54630,50156,38099,14238,84236,46449,8776,0511,1964,2734,438,94
DongThap,18/02/2019,961353,65434,96909,86359,11612,34313,37285,88542,93028,69809,20821,58174,1493,9775,2793,1048,130,81
DongThap,04/02/2019,673391,27071,02495,19789,75107,92240,29849,81775,95268,47000,71561,06434,6256,9742,6733,4039,998,67
DongThap,28/01/2019,393340,39808,24824,92548,13980,54553,43141,12833,66500,88859,98012,44475,9028,1709,6362,5333,989,20
DongThap,21/01/2019,026677,31579,94348,84013,86209,63241,01423,23471,55166,57203,23791,81580,8022,7120,8850,2285,058,35
DongThap,14/01/2019,760561,30251,58204,27071,75603,56389,00623,05912,29743,88418,62514,27731,1221,2466,6184,1716,217,02
DongThap,07/01/2019,442676,98651,89636,02900,84542,39858,81254,56843,28817,26488,84476,89251,3189,4913,7032,6191,545,06
DongThap,31/12/2018,120006,91217,32014,36448,72255,80112,29964,86466,64951,31915,02096,40748,5054,2207,9550,6674,066,05
DongThap,24/12/2018,704631,76484,39263,43311,84856,03670,82624,99261,66203,45603,51917,71111,7474,5701,8410,3014,887,02
DongThap,17/12/2018,209665,23232,68014,68142,43718,10195,85801,62647,66897,62050,97627,28570,2232,4792,5245,8672,988,45
DongThap,10/12/2018,717877,75866,99057,62929,08269,19480,01273,50123,29096,50152,40671,91060,4989,1392,4085,9942,802,48
DongThap,26/11/2018,669232,24717,03347,76024,19054,31243,15469,40058,90103,13116,10397,80995,6035,9549,0991,8148,135,48
DongThap,19/11/2018,908318,22999,45465,81108,34785,21591,08244,93337,60869,60787,48141,61314,2490,0588,9773,8464,089,86
DongThap,12/11/2018,141230,10098,01224,27168,62843,27557,70702,39497,64686,10671,23098,63792,7214,5788,4075,0585,208,03
DongThap,05/11/2018,166440,70249,08064,08560,15418,93414,47970,92404,48119,86080,32321,11810,3650,6872,9944,2031,134,74
DongThap,29/10/2018,074858,71503,58997,28814,10390,04605,68418,96088,14952,95846,52096,85780,1521,7606,3686,1276,300,08
DongThap,22/10/2018,189826,11562,52631,49128,88349,22926,29092,21049,73661,12811,10290,59207,8385,8323,9147,9679,845,82
DongThap,15/10/2018,163869,62918,20999,96367,36599,46365,98631,92976,59517,24852,71531,92981,4455,2666,9819,8932,391,76
DongThap,08/10/2018,852574,73695,64222,55545,15751,66923,28391,29348,95094,02543,72881,54166,8131,1627,2614,1861,279,59
DongThap,01/10/2018,801205,44697,15170,58828,32344,60667,53705,12148,90436,98337,49687,08238,7480,5806,1091,6700,121,03
DongThap,24/09/2018,338146,35510,24578,24422,69811,33081,93544,94754,95061,74175,92723,21482,2610,3790,2319,7753,151,41
DongThap,17/09/2018,947679,56622,43048,21925,32107,45720,17394,67807,42715,75600,47966,40699,7507,0839,9757,0270,604,14
DongThap,10/09/2018,896123,08147,95313,77097,36235,35941,72229,69899,25685,69962,18356,64407,9142,0644,2868,1710,796,57
DongThap,03/09/2018,952057,05150,31534,13277,64173,60281,38003,98003,46815,04064,83054,19663,9395,4133,2871,8232,741,95
DongThap,27/08/2018,702212,87289,58913,97070,10108,97276,41034,85575,63616,42558,56771,12562,1268,3605,9513,5670,334,74
DongThap,20/08/2018,374123,78998,44329,27162,82620,15358,86997,94486,41296,59128,11311,08539,1933,8385,0156,3754,123,95
DongThap,13/08/2018,073408,70745,00514,34965,96620,75744,72425,66074,00830,80189,94761,90921,3247,7739,5236,2389,541,92
DongThap,06/08/2018,569548,57613,23192,70602,71377,34125,20178,14930,01886,24429,12121,11213,9064,9072,0756,4044,216,11
DongThap,30/07/2018,517112,01068,03700,24224,63652,04002,15226,23721,34060,16876,67057,92264,1985,1202,9727,0834,388,90
DongThap,23/07/2018,708670,30789,59648,29065,77513,20999,41113,15436,69178,19739,22708,76701,9463,0002,1122,2942,476,46
