"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
KienGiang,2019/07/28,446874,64423,26864,12983,37526,96549,29268,74782,02951,44882,43125,99584,6746,4871,1028,7202,293,42
KienGiang,2019/07/21,089036,84882,91705,38212,36921,70499,61401,46396,60629,91211,02069,45241,1264,4650,1688,5581,845,04
KienGiang,2019/07/14,864371,71074,83507,43057,03591,32547,44995,40031,55559,93602,23144,69142,6756,8648,8548,3736,229,62
KienGiang,2019/07/07,574449,20564,07425,39937,50548,20456,69290,33081,20100,86720,35341,80104,5443,6287,5137,2427,493,66
KienGiang,2019/06/30,043540,45275,36741,83373,79273,97413,34831,38607,28856,87877,87088,12353,5714,0053,9724,6748,773,77
KienGiang,2019/06/23,982997,01054,09840,04618,52163,49439,66736,91491,72615,83688,14015,78831,7403,3092,8226,1465,919,44
KienGiang,2019/06/16,815820,55580,45522,88225,49414,87764,66080,10631,81458,34044,17448,40415,0732,0079,8118,0565,316,76
KienGiang,2019/06/09,379289,94492,14806,65067,31660,15980,52546,27589,66377,48912,31032,10542,3622,3433,6024,8386,498,82
KienGiang,2019/06/02,839856,86436,86697,17803,36325,87040,45539,89022,57587,86061,99573,22301,8892,6412,2899,3622,753,99
KienGiang,2019/05/26,677823,91727,15650,17251,68695,11629,96049,76293,53599,84175,72766,23130,1019,4766,3936,5375,589,07
KienGiang,2019/05/19,628417,84792,79192,02766,36162,19941,51730,59939,35450,25550,69952,07903,4928,6362,2035,0672,378,03
KienGiang,2019/05/12,036168,91267,46367,06022,66050,20069,56967,53418,06709,26387,46364,95491,6091,6976,8272,0287,273,12
KienGiang,2019/05/05,997822,20558,48192,97848,62731,00563,89910,03816,04590,92262,76786,18445,6577,5304,8258,7814,508,20
KienGiang,2019/04/28,956869,25568,29824,37494,58181,79376,77888,63787,69636,26420,83146,80939,6108,2770,9495,2326,287,96
KienGiang,2019/04/21,458973,64895,40138,38055,87724,11757,56596,86362,25733,42463,95784,13877,0684,6161,0599,2775,960,55
KienGiang,2019/04/07,276929,07907,36701,13171,29141,54615,09288,05919,64845,58689,52556,55450,7822,1272,9319,8351,802,03
KienGiang,2019/03/31,566029,25640,04235,63462,01867,78478,09518,80554,61687,41805,14007,26137,2149,0598,9886,1849,988,85
KienGiang,2019/03/24,991294,38005,17598,62860,07513,26019,69217,78939,17317,49612,02890,97622,0999,2260,3985,3150,677,45
KienGiang,2019/03/17,947038,42836,49735,48432,07669,01999,82892,68646,38025,99443,76095,35258,0295,9617,7826,3273,482,50
KienGiang,2019/03/10,449587,06706,63741,27236,50849,57711,69627,19511,88918,80640,13545,97945,2135,5495,9407,8154,390,65
KienGiang,2019/03/03,853351,35842,87060,45216,51055,25878,83673,91196,04995,04511,89100,71378,9025,1299,1715,9081,347,02
KienGiang,2019/02/24,979185,32353,76388,98046,96359,08989,30747,10802,75894,95760,53317,16519,3635,5041,2004,0542,190,54
KienGiang,2019/02/17,071568,41890,17507,60907,35581,92442,36946,18176,77536,82671,13672,14299,8571,0291,3851,8775,905,52
KienGiang,2019/02/10,432355,39739,97170,05915,06471,00338,57515,04737,78697,73269,92105,25357,7516,9506,9529,8280,106,63
KienGiang,2019/01/20,922234,26455,23992,56335,55484,26380,52263,85666,66988,20691,54025,54769,0638,0876,7857,3922,477,58
KienGiang,2019/01/13,250328,53195,76729,91994,76522,98442,97383,34788,90617,68133,53366,38758,6129,9975,5894,7771,642,78
KienGiang,2019/01/06,156899,69142,36805,40804,73549,14093,66219,67287,62888,63809,93852,45049,3614,0136,0335,1420,965,46
KienGiang,2018/12/30,883916,51181,30573,48461,04451,32143,35687,14254,27728,18342,93627,44734,9665,0773,1724,7660,740,64
KienGiang,2018/12/23,088692,78439,33795,96732,49078,31964,80421,70058,01554,02649,45678,66973,9911,5319,8087,9088,011,71
KienGiang,2018/12/16,232815,62225,56083,03583,45933,25492,18128,40305,58834,10566,71044,83019,0966,3821,0566,8806,520,44
KienGiang,2018/12/09,599357,26701,02051,95891,00634,05725,89951,75431,16346,30266,65522,86927,7185,4458,5239,3678,234,40
KienGiang,2018/12/02,936681,68275,61701,94795,06881,83482,93129,68393,93267,39635,73651,77917,3133,2819,3761,5448,943,31
KienGiang,2018/11/25,159732,48235,51503,39523,08433,86305,98286,00898,38993,76721,25004,17571,4907,9537,2447,9085,756,49
KienGiang,2018/11/18,807683,52661,95808,34037,07684,76180,10226,92347,25959,73232,93042,19816,9190,8861,5957,8501,121,92
KienGiang,2018/11/11,472488,61935,12447,26112,09289,55418,77535,47832,97200,29546,49526,11723,1011,4946,1408,8885,447,33
KienGiang,2018/11/04,479565,29031,81652,27120,16033,31237,96018,97137,60346,28947,20279,36106,0685,9661,9146,0456,671,71
KienGiang,2018/10/28,028635,18173,40546,30116,51243,75022,98612,33782,68667,86114,88379,94831,7991,3893,2272,5084,593,94
KienGiang,2018/10/21,670174,48505,01411,96012,91607,38205,46840,43069,95039,88712,76529,98026,9742,3797,3098,0289,355,83
KienGiang,2018/10/14,120917,71636,64468,79391,71378,63382,78595,96461,57518,81594,34268,37048,1431,8036,7004,9051,959,52
KienGiang,2018/10/07,073600,99308,72719,24462,05941,08191,57320,53780,04474,39952,10248,82486,0924,8148,8048,9656,325,09
KienGiang,2018/09/30,732469,90452,35122,67061,14165,13557,53043,29682,23127,31521,96015,13976,3029,1011,0571,3596,470,59
KienGiang,2018/09/23,784349,66168,02472,64767,06129,93252,34381,89634,04661,01324,44292,47772,5867,6164,3340,5645,375,59
KienGiang,2018/09/16,019176,02565,59851,73911,00062,39580,25682,15108,17290,20459,79544,40204,7874,9496,0468,6436,781,68
KienGiang,2018/09/09,308646,65421,51360,77309,84276,29038,31038,26934,60865,29999,84549,96101,2530,5037,1708,4314,058,90
KienGiang,2018/09/02,870314,08519,47644,89815,12164,69637,75774,87764,83546,81300,54569,87330,7184,5398,0723,2578,133,95
KienGiang,2018/08/26,075843,56338,06393,40348,92032,27747,56635,94783,35590,75077,98822,80561,6955,3280,5853,2187,860,38
KienGiang,2018/08/19,400908,42206,11369,74340,21568,20813,09423,37750,89825,95221,27207,70916,6916,4097,8564,0851,300,61
KienGiang,2018/08/12,032684,69291,12071,69741,96636,71361,28804,09154,79679,85272,57995,38171,9428,4271,7399,4046,577,05
KienGiang,2018/08/05,693789,87791,76256,54834,31508,05848,24154,97827,48806,51824,86272,44051,5143,8931,1236,3768,881,15
KienGiang,2018/07/29,993654,72005,65078,13342,68805,63285,72373,93023,76743,17053,52218,24276,6319,2464,3553,7374,777,00
KienGiang,2018/07/22,615936,99796,18978,36246,09478,34631,15050,57858,36841,18226,00486,96826,9384,6884,7606,5123,885,75
KienGiang,2018/07/15,936971,77213,31542,15628,71048,69221,57836,43361,37781,60600,29465,53068,6595,7427,6868,7014,442,38
KienGiang,2018/07/08,516962,03821,07748,85452,91099,22212,15660,40955,25288,27224,52907,60200,4631,4304,7760,1598,675,86
KienGiang,2018/07/01,803667,13002,47273,22384,80540,48877,46796,67861,19814,71316,23325,50028,0342,9318,7155,7660,010,26
KienGiang,2018/06/24,113849,21026,37802,42193,34780,76783,62497,79363,77933,19565,80351,50957,2480,2333,8378,6294,867,42
KienGiang,2018/06/17,936083,12811,69401,48800,31066,45923,26353,92295,11252,98371,62411,70442,3463,0053,7320,2461,128,48
KienGiang,2018/06/10,348308,11325,65960,67306,64827,18677,60141,45742,02442,32593,49442,41266,8829,3935,3908,1039,061,28
KienGiang,2018/06/03,696660,92629,53485,43186,45319,63777,83167,81869,03606,12571,51438,87826,2044,5934,0438,3545,105,10
KienGiang,2018/05/27,179516,16086,24341,24349,48603,65947,11195,49669,87857,27333,48558,42031,9918,1603,3796,1095,447,10
KienGiang,2018/05/20,056954,66229,16303,28094,23312,26106,80759,53526,19180,44852,94250,21065,2015,4819,5443,2039,861,34
KienGiang,2018/05/13,335122,59241,25263,67207,24247,19349,08761,65055,53976,78993,80259,53912,6099,3985,1752,0070,852,83
KienGiang,2018/05/06,949938,31073,65845,38876,19127,31918,70479,27675,59528,10239,78092,21698,1671,3550,9384,9957,106,14
KienGiang,2018/04/29,727489,17066,96806,13289,75889,08547,79961,73021,73186,63127,26573,51422,5702,9239,2506,2532,226,51
KienGiang,2018/04/22,549950,57377,91462,36582,63988,35833,11489,74864,94405,44904,03922,60448,5714,7396,6284,9798,236,90
KienGiang,2018/04/15,922941,46507,39664,06874,17608,67432,42562,97229,62290,19126,24795,39248,5906,3839,7077,1400,089,18
KienGiang,2018/04/08,077677,54840,86193,00125,66389,50034,71996,13376,48943,81988,07630,93405,0175,0433,9616,1511,471,01
KienGiang,2018/04/01,968951,52530,80940,41201,46829,31526,59438,16493,28922,49949,12244,36478,5957,2540,2350,1901,740,58
KienGiang,2018/03/25,186321,03474,69500,93860,98018,04019,82874,03274,03438,39755,83946,81968,9936,9335,6359,0165,048,40
KienGiang,2018/03/18,872768,50880,57601,79702,47656,75290,81365,04409,11241,07066,93679,43621,4073,6678,8805,8672,406,78
KienGiang,2018/03/11,252342,08084,90314,14408,91708,02708,54554,47558,93680,19172,29098,10574,0051,6353,8218,7369,689,17
KienGiang,2018/03/04,851554,38568,19214,61946,64524,54230,42655,53191,75326,16078,20387,61426,6311,8775,0198,3625,660,53
KienGiang,2018/02/25,615308,29231,93231,11813,42754,33287,13346,35247,91449,64462,64119,31959,0396,5081,4957,7055,051,90
KienGiang,2018/02/18,276334,99390,59167,14868,41081,27540,53234,58387,47170,24154,22990,56863,9329,8633,4511,5862,628,15
KienGiang,2018/02/11,493457,24784,27215,15843,44421,40783,14034,04573,28232,26668,23520,42287,8814,0705,9389,9853,724,96
KienGiang,2018/02/04,681688,89663,20547,78228,21040,83382,53681,66039,11136,50231,26643,35640,8685,4722,0322,0285,411,56
KienGiang,2018/01/28,013837,22968,88289,42018,34606,88541,66688,54562,65499,56475,35478,51967,3563,7518,1544,3454,431,11
KienGiang,2018/01/21,199437,43634,59691,96815,79879,65223,11682,63246,75782,29702,76752,12977,4949,0460,3630,5752,170,31
KienGiang,2018/01/14,567405,26434,44147,26287,18244,56488,20140,68713,82950,12890,78846,28928,8109,8138,7286,7675,389,59
KienGiang,2018/01/07,325400,74340,99184,35923,86299,80386,88970,92751,05627,66167,84329,43451,9400,8750,7672,2735,149,66
KienGiang,2017/12/31,221147,67246,24120,66209,17430,14823,39683,34313,33631,45415,10745,13582,6476,4845,8574,6592,950,00
KienGiang,2017/12/24,356042,08967,55131,42430,07118,22201,80645,63296,46958,19257,80129,52468,1906,6852,9088,4520,364,25
KienGiang,2017/12/17,785294,58203,41075,63782,19828,57388,85633,32440,44147,52203,11236,69604,4892,3501,0208,8916,018,51
KienGiang,2017/12/10,044788,19154,18529,65319,36374,02082,03756,78414,40287,22812,01788,12673,4349,3939,6840,4498,127,08
KienGiang,2017/12/03,349114,96671,42001,19660,72780,20813,42200,82361,23744,59776,26383,87334,8578,6667,8670,8727,847,28
KienGiang,2017/11/26,564921,82479,13438,51816,45745,25785,23477,25885,83238,64194,79338,42119,9124,0894,2586,8006,931,32
KienGiang,2017/11/19,564242,03204,49541,79330,49374,84491,10327,95832,61630,90692,28793,28600,2741,0832,3253,6898,822,08
KienGiang,2017/11/12,327001,76738,15509,64467,73400,37645,61286,13821,65988,02519,93046,08848,2552,8281,4829,1028,141,16
KienGiang,2017/11/05,757780,51972,29842,76870,53866,26175,26116,42184,47635,37809,48538,13412,0966,8536,0251,8598,228,92
KienGiang,2017/10/29,637570,52063,90346,49075,21719,71475,28776,12039,01096,90765,16200,57248,0930,8876,1871,8056,483,15
KienGiang,2017/10/22,459370,32585,49597,70847,10018,50646,13206,99361,25329,91486,14504,70781,2300,8291,4990,0336,888,09
KienGiang,2017/10/15,436239,12517,73418,18903,88283,69914,59598,00609,38916,59851,84794,33095,0871,1657,2293,9699,788,74
KienGiang,2017/10/08,632929,65781,54034,42676,00377,73582,75134,91284,48610,27962,89635,13533,6621,0870,8749,0578,164,25
KienGiang,2017/10/01,702081,72049,70097,63198,27769,92607,90112,27096,39508,14492,68129,82378,9768,9796,6997,9034,215,53
KienGiang,2017/09/24,869204,69404,97288,41281,95651,81313,68628,95222,19242,96909,64158,65041,8349,6987,4146,9370,918,07
KienGiang,2017/09/17,254457,14713,92541,48340,75646,60973,67502,80823,91691,78249,60077,74746,7304,7035,3256,8301,300,42
KienGiang,2017/09/10,311895,33660,86289,31549,87701,81796,44351,26708,50202,94137,87131,22150,0154,2374,7669,3465,576,85
KienGiang,2017/09/03,349314,08273,90431,49932,03247,51656,53599,21520,96563,43838,79186,90078,7448,6295,7895,1701,923,48
KienGiang,2017/08/27,033793,63445,02666,30038,40993,06558,23886,36928,81842,71687,87658,55428,2359,3945,1127,0980,086,98
KienGiang,2017/08/20,704215,29558,33661,40030,05719,18504,83536,90487,67297,87479,64568,11573,6736,1261,1116,5827,905,08
KienGiang,2017/08/13,059968,01747,45336,96518,14065,34546,28842,86543,90131,46010,51932,08196,7563,0006,8088,6971,941,83
KienGiang,2017/08/06,979468,32855,59570,70813,68705,43341,56618,37140,69350,18042,11106,05468,8226,6890,0222,2728,460,09
KienGiang,2017/07/30,695546,55372,23923,06237,72617,33605,15133,99621,60826,17893,21456,98755,3812,6502,6273,6333,981,22
KienGiang,2017/07/16,698661,87855,26417,91006,45490,18254,87407,90434,20071,64811,06846,87945,4138,6569,7076,0448,975,02
KienGiang,2017/07/09,806834,40301,29840,38248,94796,18553,27366,73368,88816,12093,01097,74779,1676,1594,7291,2581,792,87
KienGiang,2017/07/02,521485,79323,83764,05967,42986,88589,49001,04750,84532,22542,95887,15237,7004,1739,4835,0566,039,15
KienGiang,2017/06/25,699709,40563,45478,44977,80780,00172,13294,25531,91519,22903,46850,10181,1090,9970,8820,8094,629,19
KienGiang,2017/06/18,477472,07629,96799,91334,90023,19369,44897,59585,88782,55686,20431,60806,8676,4484,1505,5521,546,57
