"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
KonTum,2019/07/28,235899,71257,95867,72255,49252,34162,04883,81162,70794,08303,05842,45220,4984,6944,5212,6425,610,19
KonTum,2019/07/21,261869,46607,02524,19110,51078,58651,25230,31173,65472,50493,49664,20350,0296,2646,1150,9895,787,30
KonTum,2019/07/14,779763,44422,82097,22869,49420,44125,08662,27599,34235,79183,04569,80585,0123,8925,4685,5791,989,24
KonTum,2019/06/30,145988,09013,42481,92422,01418,15040,05235,65501,13307,99072,03526,83555,1482,3210,4165,0651,583,90
KonTum,2019/06/23,492283,31637,26919,69662,64464,81204,38678,18926,65128,16309,88036,05054,0490,3813,7760,1926,766,04
KonTum,2019/06/16,888640,53341,68814,12699,08742,27600,98708,07766,91117,16555,34527,25674,6773,9687,2174,4208,381,87
KonTum,2019/06/09,104269,84654,85680,97561,09611,54108,42456,20301,31933,64147,87553,00302,1455,2809,3254,4256,149,09
KonTum,2019/06/02,204031,62181,42280,94567,92685,70954,50320,67684,31586,38356,16169,64188,6756,5410,7819,4122,466,25
KonTum,2019/05/26,223681,52956,50575,42804,45834,89494,64947,95832,82992,43272,53510,13047,5768,9887,2701,8494,758,12
KonTum,2019/05/19,863062,18152,79618,11364,03869,80780,11024,92339,11792,95111,26871,18777,0620,0325,8340,6117,511,49
KonTum,2019/05/12,058037,47908,77326,81837,71637,63119,06733,81520,52941,64198,77360,07406,7187,0552,6332,6050,280,36
KonTum,2019/05/05,340888,73633,21551,76090,91957,29203,00015,19347,18539,66169,47690,02699,4620,0892,5584,3478,683,45
KonTum,2019/04/28,918392,54856,66140,26680,15282,48567,98783,30147,67097,86157,36957,38702,5013,5697,6785,1003,979,95
KonTum,2019/04/21,997590,83191,84827,83630,67428,16396,52970,69539,90816,50391,95574,23177,1153,3098,5353,0828,685,08
KonTum,2019/04/07,786510,08092,22862,85364,51706,66063,19833,66580,06378,19001,67419,59357,7431,1210,1738,9671,276,70
KonTum,2019/03/31,875010,63015,64995,73869,25668,62948,70092,11351,34808,47050,22990,87349,5118,6809,7771,4406,014,75
KonTum,2019/03/24,800039,35316,76830,10703,08311,94529,22089,84804,55026,30425,92933,40258,2102,6310,2032,1398,168,12
KonTum,2019/03/17,740177,22157,76882,88556,72962,76260,38959,06882,53276,42133,84449,28200,3145,2650,9303,3320,575,89
KonTum,2019/03/10,337591,45685,20431,01202,28582,28627,93314,15020,60319,27179,23326,10185,4681,4446,0943,8195,784,87
KonTum,2019/03/03,688652,53618,22922,09784,11487,85951,26441,49777,48712,12799,18361,25727,9895,4760,7698,0106,024,98
KonTum,2019/02/24,041396,82816,87477,54024,90433,06805,17064,33593,35049,94318,91817,99692,3265,8529,1569,1465,816,65
KonTum,2019/02/17,570126,19820,60077,10202,10308,38340,35542,84620,67076,15423,57291,48192,3560,2675,2845,4295,463,33
KonTum,2019/02/10,529310,66735,53183,50532,61180,39438,86845,32116,79339,51393,62061,40740,4914,9446,1032,7883,956,92
KonTum,2019/02/03,166952,59481,45589,27178,14251,28156,06250,32041,89563,27354,47478,18296,8731,5116,9218,6961,216,89
KonTum,2019/01/27,885995,17232,68702,67771,95718,41333,03252,83700,73576,96505,69857,17667,8912,3166,9507,9181,695,07
KonTum,2019/01/20,558476,18025,13055,54998,36670,91053,03429,93644,08513,84204,83734,84815,4299,5590,0650,9631,244,50
KonTum,2019/01/13,294160,03019,44322,13411,68532,11593,80113,94279,25658,16967,84358,55718,8192,4472,2275,1489,092,20
KonTum,2019/01/06,102544,00710,26428,19975,79461,46665,20709,74203,98752,70419,77992,79360,0720,9086,4592,5942,823,00
KonTum,2018/12/30,656936,76788,14551,73994,62402,55631,82752,38440,54555,70442,28546,43778,8070,4374,4878,0420,524,21
