"name","created_date","giai_dac_biet","giai_nhat","giai_nhi","giai_ba_1","giai_ba_2","giai_tu_1","giai_tu_2","giai_tu_3","giai_tu_4","giai_tu_5","giai_tu_6","giai_tu_7","giai_nam","giai_sau_1","giai_sau_2","giai_sau_3","giai_bay","giai_tam"
NinhThuan,2019/07/26,966697,61691,18218,46250,16852,33861,24433,85861,16851,99091,07762,52685,5855,5817,3217,1531,410,91
NinhThuan,2019/07/19,049314,40886,90756,24218,65148,95908,85167,34519,94972,50774,59483,82353,9174,7571,2654,1900,564,71
NinhThuan,2019/07/12,979766,77621,03755,12761,65329,78596,20161,14660,15955,69380,93346,57509,3799,0712,4895,7397,099,29
NinhThuan,2019/06/21,369268,45495,51129,60257,55867,18911,36106,68681,08786,88360,86161,85404,6405,2190,2407,2267,745,19
NinhThuan,2019/06/14,438905,53058,15151,14224,29460,42323,01606,64773,74853,29207,62801,93732,0457,5889,1569,6291,077,00
NinhThuan,2019/06/07,985830,83393,88100,04350,68422,81131,50325,69866,43239,49902,74161,16913,1287,4554,3947,3546,886,87
NinhThuan,2019/05/31,190035,00501,70813,31926,89938,62495,28265,28645,23200,03406,41612,51535,2758,8488,7249,1582,635,02
NinhThuan,2019/05/24,068705,16624,63946,67552,83286,23773,44036,83674,19842,33241,99545,65378,4131,6482,8062,8064,559,11
NinhThuan,2019/05/17,078627,23270,83119,53234,35015,06558,31335,67449,09210,07570,73857,40932,1584,1169,7999,2497,675,96
NinhThuan,2019/05/10,609305,36386,09604,62477,34654,63446,50743,18775,77865,00858,28226,20571,1248,4424,8719,1019,694,05
NinhThuan,2019/05/03,361625,76907,61071,75452,85678,66333,69592,33276,12017,77226,43779,63762,4779,9604,4407,0153,365,06
NinhThuan,2019/04/19,872664,88814,94848,49071,50303,12936,72822,98432,72275,12860,69298,19245,6160,2305,5147,0831,221,75
NinhThuan,2019/03/29,501845,73107,89244,73427,22854,78860,28629,07343,36145,96662,66456,18346,9923,3490,9355,9171,824,90
NinhThuan,2019/03/15,209263,17067,18641,37239,61213,29733,61950,19803,84118,65878,41343,53149,7278,9722,0204,4952,045,21
NinhThuan,2019/03/08,658056,54407,35536,78054,85496,74940,84058,61331,89548,09261,82331,19457,7560,3127,4253,5120,343,01
NinhThuan,2019/03/01,598886,93152,64521,80241,76635,52833,20021,82314,99022,91803,09456,37867,6234,7547,0364,9886,099,78
NinhThuan,2019/02/22,813129,47118,69991,20665,77958,12745,83811,36377,00310,07864,08389,78890,4000,5320,2210,2398,610,17
NinhThuan,2019/02/15,038849,32827,49682,55010,54751,08438,86109,85394,78609,46394,99085,14603,2112,0678,3164,1097,998,81
NinhThuan,2019/02/08,177214,13959,84308,78658,51958,44920,94053,67613,47531,92747,48263,39208,9562,5095,4043,4607,258,99
NinhThuan,2019/01/18,732584,45225,15864,93594,99915,55914,12964,77475,27698,27386,60233,80777,8715,9651,1751,3911,683,47
NinhThuan,2019/01/11,721281,75062,40770,50225,39785,11670,22810,96874,42407,49648,39301,54877,5179,2532,8213,5956,428,50
NinhThuan,2019/01/04,088363,17822,87483,45251,63130,59375,97305,43792,72160,96604,35365,84733,9136,9668,7358,2640,087,02
NinhThuan,2018/12/28,048433,93646,28559,12039,36793,56913,72230,63137,14200,35323,35710,93583,1762,9824,1055,1433,187,53
NinhThuan,2018/12/21,263667,59714,05454,76582,22162,48633,31754,44986,00627,91780,42025,86659,3198,0315,9663,5298,646,14
NinhThuan,2018/11/30,255126,65541,92065,74448,30537,88531,32693,89623,54275,87467,52333,92840,9775,2537,4582,1753,910,39
NinhThuan,2018/11/24,832244,37546,05008,21515,50355,49136,12541,60753,64183,98113,31918,46215,8099,4521,9348,6390,071,47
NinhThuan,2018/11/16,136259,83799,03823,77273,96864,21683,86738,39865,96191,84758,06339,22483,3643,8872,6481,7170,570,34
NinhThuan,2018/11/09,177842,61823,80422,84537,95808,63329,93804,37677,63169,35157,62105,95448,8138,8316,0398,0466,134,01
NinhThuan,2018/11/02,659229,59988,19325,05244,52172,93097,35614,22670,16829,51771,59305,35528,1755,8556,6687,4109,617,73
NinhThuan,2018/10/26,928305,19405,56252,19183,74177,42175,27730,88523,11963,83117,30431,77084,6226,6227,0252,7912,710,52
NinhThuan,2018/10/19,920735,55350,60372,24287,35961,34670,46614,02093,81440,14739,92160,01537,4867,0085,8964,9484,862,56
NinhThuan,2018/10/12,621863,14021,82004,57043,61894,38558,68715,59182,57834,83686,99040,53013,4092,3653,3034,4956,135,92
NinhThuan,2018/10/05,505261,62635,43444,54670,51915,55621,51501,75534,47030,68939,26365,13653,9600,7290,7502,5985,040,90
NinhThuan,2018/09/28,140049,61065,79386,18521,04297,19872,84793,10977,01145,21854,89981,75938,1572,5765,1792,3939,565,32
NinhThuan,2018/09/21,502761,32695,79574,22935,95756,88182,02898,21554,09879,36499,47582,92504,2373,8899,3340,7155,547,20
NinhThuan,2018/09/07,871743,31755,93724,98090,93560,67215,67153,99482,18469,02479,97523,86580,7019,8663,6543,9446,678,53
NinhThuan,2018/08/31,429599,52695,21711,42321,69236,41946,60806,93240,19810,97141,07265,08011,9676,6377,3203,3186,248,15
NinhThuan,2018/08/24,332632,18539,94333,03744,50980,80782,27053,03567,37289,40209,47006,13506,4620,0407,9445,9620,209,27
NinhThuan,2018/08/03,713090,31718,35023,16629,87517,21935,46253,50240,24848,21850,59526,56053,3121,7253,3911,9843,749,40
NinhThuan,2018/07/27,455922,06316,32861,14153,29512,16903,24237,89138,65548,07239,58423,03668,5897,6603,6034,7878,335,82
NinhThuan,2018/07/13,171754,14301,56281,94446,92854,65653,56182,15556,92095,34603,44995,81285,8452,0729,2355,4705,556,35
