"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
QuangNam,23/07/2019,827239,29441,53713,15987,43800,29201,75736,50700,13746,43339,70261,27288,9653,4732,2285,9951,145,43
QuangNam,16/07/2019,694882,04274,42416,51275,40415,26679,59307,24439,33113,13395,83687,32510,9780,8071,2195,3754,541,46
QuangNam,09/07/2019,783196,51023,26972,87036,74555,76235,06521,02368,18876,95796,00706,25908,6382,8882,3118,0239,469,73
QuangNam,02/07/2019,162911,43395,17379,72701,88945,95794,71330,88774,68652,65431,44733,35079,4147,9976,5392,1002,865,09
QuangNam,25/06/2019,925006,52261,35977,97240,38687,80513,14373,96857,70548,75701,85156,95625,9332,0013,9380,1676,749,58
QuangNam,11/06/2019,165357,09762,93175,08169,94475,58141,75699,60911,40555,56533,26869,51443,2839,0941,3911,0648,543,63
QuangNam,04/06/2019,348534,85709,39722,52769,10697,32893,27087,72808,48656,84224,14922,33764,8064,9522,8642,2038,542,47
QuangNam,28/05/2019,410510,27337,82489,75609,81643,63906,42654,39562,07019,19993,22219,75746,7155,6163,5574,9080,160,67
QuangNam,21/05/2019,384056,40050,69824,09464,15868,66844,01994,05104,12825,98381,59794,09780,4916,7288,9421,0938,253,12
QuangNam,14/05/2019,008736,79600,39721,28886,21173,71953,56714,68169,29251,07168,73326,08255,8231,9763,8715,3684,058,15
QuangNam,07/05/2019,010516,96140,39669,33218,66738,80967,24162,49545,19189,25961,92365,45630,1977,4794,3910,2157,021,70
QuangNam,30/04/2019,214561,51059,36148,35102,35897,39579,49359,58674,10855,02681,60437,70969,6684,8562,2074,2672,065,14
QuangNam,23/04/2019,876428,44235,32401,83506,24384,35924,90653,32293,93279,02438,97696,79262,7447,8525,2960,1689,782,16
QuangNam,26/03/2019,145643,40729,60844,03711,35190,32423,61064,99178,36486,78084,97688,96304,1831,2360,6262,5833,662,21
QuangNam,19/03/2019,267123,87824,55377,01710,37519,64424,35819,32910,93038,54574,00808,70563,3174,6667,8009,3006,658,59
QuangNam,12/03/2019,692942,13022,91248,50603,52197,28024,68327,41269,85421,94007,70127,71995,6855,8691,7146,1019,339,14
QuangNam,05/03/2019,830920,36541,94339,92342,04219,87976,61263,79322,20665,02616,87771,32313,6106,7727,7590,3495,285,63
QuangNam,26/02/2019,055393,08252,12974,62728,85779,37996,32984,55583,06228,74765,67083,57107,7856,3769,2685,1111,362,60
QuangNam,19/02/2019,424217,26741,38046,38940,41758,76397,00903,84051,94453,05597,69086,45646,8400,6845,0569,0839,555,07
QuangNam,12/02/2019,275318,93630,91711,45341,48382,05209,54922,71064,11098,87870,59651,69363,3769,4175,6791,2556,881,72
QuangNam,05/02/2019,702965,49141,81897,99363,04344,36566,85171,34270,09051,97571,42219,45479,9960,9421,8258,5265,367,62
QuangNam,29/01/2019,189247,18038,03482,36337,28715,35333,58888,34311,38348,28363,02326,35188,3654,9023,6567,6946,656,95
QuangNam,22/01/2019,171310,39903,36478,26822,36032,67895,33930,11427,15708,72064,32943,05761,6888,4362,1870,4608,654,53
QuangNam,15/01/2019,266651,05993,01438,24438,08919,16858,15314,39098,79122,20386,84196,20176,1552,1555,2808,9287,531,47
QuangNam,08/01/2019,332369,90320,44718,08514,20384,13663,77969,23846,09568,05605,25982,16054,6510,0696,9912,0206,766,37
QuangNam,01/01/2019,852170,21186,16923,94126,42001,54611,12794,30023,89145,42206,47587,90407,2540,1779,9608,7164,469,05
QuangNam,25/12/2018,408583,51808,17206,60778,12234,67846,48025,80688,75014,87192,30356,22479,1551,3228,0879,2342,165,85
QuangNam,18/12/2018,304568,19223,75965,37889,85884,12660,19226,82987,16933,97052,97307,69586,1918,9354,3546,6015,729,19
QuangNam,11/12/2018,389405,25272,32770,66797,86704,45238,16195,52714,48380,10202,87711,21478,0968,8287,8974,9332,737,39
QuangNam,04/12/2018,220762,24078,41323,28639,50972,48017,74266,89317,23124,37133,62110,01178,5303,8475,9787,2482,678,70
QuangNam,27/11/2018,634430,47239,15535,87210,39297,93665,26439,96460,75831,17524,78582,41768,5539,6034,5045,9828,064,15
QuangNam,13/11/2018,732205,59084,59020,21265,43177,12102,30732,05390,37399,89376,16466,39188,3451,3274,0739,4776,256,34
QuangNam,06/11/2018,341844,84403,10396,04809,31945,75127,72070,36779,42441,04475,96998,16375,2798,4700,1355,4620,322,34
QuangNam,30/10/2018,456628,07288,39375,34092,78042,18795,82448,21071,52453,82436,62176,93684,2024,5216,0196,4863,198,02
QuangNam,23/10/2018,343453,17267,66777,02576,84145,44080,60929,56834,30929,22145,05139,18591,4820,5985,7218,8580,627,07
QuangNam,16/10/2018,135477,27698,32930,61854,04564,18203,16242,94667,22385,85357,47893,87646,0366,2661,4018,4979,787,94
QuangNam,09/10/2018,441681,79356,38038,99633,06772,87175,13932,75706,48812,48999,05060,25458,3071,0986,9978,3153,911,81
QuangNam,02/10/2018,556297,03971,87061,90496,99970,30683,75435,43773,10797,74677,51054,26763,7739,2013,6137,1081,248,61
QuangNam,01/10/2018,556297,03971,87061,90496,99970,30683,75435,43773,10797,74677,51054,26763,7739,2013,6137,1081,248,61
QuangNam,25/09/2018,000686,55740,32835,06547,12579,44873,55511,60847,41596,55113,28026,39033,8621,2674,1974,2799,813,42
QuangNam,18/09/2018,939923,77516,69214,67286,67968,49114,08927,06685,23121,21452,70418,37775,3672,0906,6055,6541,551,77
QuangNam,11/09/2018,803130,10285,24110,03629,52752,09473,22869,07722,05462,43856,10320,92102,6751,1629,4433,2104,955,57
QuangNam,04/09/2018,683451,21741,54325,49576,34329,09091,62974,82477,29615,60814,95999,87315,8444,6828,5771,4113,922,25
QuangNam,28/08/2018,889293,54320,79769,04740,65335,53045,57165,37029,37668,24233,24598,89480,1477,2112,9636,4242,070,17
QuangNam,21/08/2018,677442,06983,82780,85392,65006,32948,98360,26406,19364,90633,41529,17324,6501,7509,3313,7038,950,09
QuangNam,14/08/2018,376409,17978,79400,61415,48172,57612,26251,54474,12168,05001,13685,37007,5440,6222,7230,1695,243,13
QuangNam,07/08/2018,274108,17818,51521,33831,93757,32586,75510,33851,77010,44422,14336,98498,9694,1257,5139,3257,264,10
QuangNam,31/07/2018,731769,15273,92985,65299,77451,39012,62944,16602,76884,24500,59867,63130,1899,4930,0274,9790,568,55
QuangNam,24/07/2018,432864,38738,45192,29627,21229,03207,06816,21566,94951,78876,52496,28460,3613,5440,0458,6138,175,86
QuangNam,17/07/2018,459371,11017,00989,98562,54798,20203,46419,64351,43285,33691,10382,69239,6212,6737,4996,7334,903,13
QuangNam,10/07/2018,315686,00572,57856,87838,92288,59635,46079,63671,89154,58975,07018,91473,0771,5821,9532,7145,105,59
QuangNam,26/06/2018,191798,69595,70057,09294,48963,51297,14544,77082,12623,22293,47191,94039,5099,7742,2946,3201,016,28
QuangNam,19/06/2018,742694,02120,48966,09465,02631,60588,79839,80446,20399,43556,94334,65515,6582,4237,7227,2431,176,34
QuangNam,16/06/2018,413459,00337,69108,30173,00289,23525,25104,53136,71171,35902,55316,81146,5008,2267,6833,0879,329,57
QuangNam,12/06/2018,738221,27687,09958,33983,50773,77287,61615,46480,59942,21911,27473,49301,6482,9498,6286,3453,250,97
QuangNam,05/06/2018,767058,41235,60180,43425,69125,93918,30338,79324,46172,02094,57848,95622,0518,2563,1034,5282,614,80
QuangNam,29/05/2018,914104,03070,88693,16921,65696,27254,52227,94976,11090,27294,25001,34120,4158,2749,7602,7680,759,16
QuangNam,22/05/2018,272554,76790,06779,89705,01685,43876,37855,03777,19559,67487,21221,66576,9294,3242,2174,2455,827,92
QuangNam,15/05/2018,852766,51226,19717,22579,97353,47533,27819,02502,22994,30435,36321,21970,2658,0968,8065,9686,164,43
QuangNam,08/05/2018,420260,51335,30499,80483,51588,96160,30310,29053,50484,69446,83655,24323,7659,7515,9688,1086,970,96
QuangNam,01/05/2018,284443,47451,25761,97909,51532,05296,91893,43056,48608,08688,59210,77197,4121,2336,5583,3646,515,53
QuangNam,24/04/2018,730415,81683,91302,64299,84132,89404,23139,66894,71820,67206,97761,95877,4346,5991,0319,4333,386,47
