"name","created_date","giai_dac_biet","giai_nhat","giai_nhi","giai_ba_1","giai_ba_2","giai_tu_1","giai_tu_2","giai_tu_3","giai_tu_4","giai_tu_5","giai_tu_6","giai_tu_7","giai_nam","giai_sau_1","giai_sau_2","giai_sau_3","giai_bay","giai_tam"
QuangTri,2019/07/25,282131,67827,78299,84596,16409,29127,08710,89187,43669,94243,44149,29046,7497,7317,6809,1560,666,64
QuangTri,2019/07/11,517076,69092,45451,37822,63009,61431,04610,10978,41007,95826,79831,41347,2004,3695,0888,3548,317,15
QuangTri,2019/07/04,288423,14300,24494,85761,47849,77043,57880,68351,45229,10566,13550,74231,9680,0858,3893,7159,058,33
QuangTri,2019/06/27,159068,33521,49241,03972,67274,50784,42020,58053,85772,11794,69770,08275,2759,7038,8970,8246,079,91
QuangTri,2019/06/20,752291,01494,91825,11953,57946,05008,28312,19910,77179,55129,24153,95176,3111,3338,5676,9686,263,05
QuangTri,2019/06/13,583195,51331,44824,93727,37166,29457,47011,53251,81100,70831,22781,82002,6201,6613,0629,1838,963,30
QuangTri,2019/06/06,230558,94209,19987,40333,77503,26086,82393,20337,98139,31598,47513,57953,6042,3584,6920,9672,771,02
QuangTri,2019/05/30,353003,83180,08427,42580,86244,80242,47032,83108,43236,40602,75819,74475,6708,7957,9332,6735,495,19
QuangTri,2019/05/23,791109,90123,38226,63373,48819,40581,03779,50407,23331,78601,67477,21020,3923,6902,3679,3230,883,29
QuangTri,2019/05/16,221774,35568,38478,32111,58865,55161,51679,96188,85786,74203,38484,92061,8069,0591,8410,3648,179,35
QuangTri,2019/05/09,508025,66019,09896,75224,28988,29773,10230,66154,33759,94845,89673,94569,9723,3325,7139,2125,129,65
QuangTri,2019/05/02,940577,10935,89709,95474,85725,98073,20990,99812,54519,37376,08276,72281,8897,6654,2441,8913,932,77
QuangTri,2019/04/25,331815,89118,51164,17701,78247,79423,47116,56485,68174,90123,96440,03213,0030,1890,2118,5252,715,80
QuangTri,2019/04/18,428878,53348,01204,61540,31573,42241,30828,95858,84787,66833,53413,55633,1223,0987,2351,6941,944,42
QuangTri,2019/04/11,445010,17886,86544,62796,99123,14629,26209,60755,32136,77968,92206,79498,3930,0673,8761,4501,867,92
QuangTri,2019/03/28,659658,97776,22858,33254,98896,17707,04313,67823,41349,29022,04103,69708,4238,7601,6659,2108,302,93
QuangTri,2019/03/21,962501,49079,94792,32962,02936,32246,18444,54659,26911,26879,41530,66799,5276,2656,2796,1553,028,82
QuangTri,2019/03/14,608343,49363,80144,96738,38614,92415,66555,52186,91253,86153,70381,77454,2865,4061,2721,0561,276,11
QuangTri,2019/03/07,435258,01857,58460,19322,67970,72515,22555,92722,70917,98124,75643,62976,0221,5589,1385,1756,364,84
QuangTri,2019/02/28,684709,00874,70588,74007,50485,98275,47242,24979,13415,55519,67283,58679,5524,0248,8788,4676,461,46
QuangTri,2019/02/21,607397,53511,66324,14211,05673,93777,96123,04983,88322,99988,12207,39360,3103,7495,1142,4788,718,48
QuangTri,2019/02/07,456145,76749,08055,81137,65007,50079,32515,23212,81212,43893,37678,62520,8833,8766,1232,4285,648,34
QuangTri,2019/01/31,689165,12100,67332,71548,63345,96638,00760,85017,04791,02835,48027,10102,4108,5891,4168,9558,202,67
QuangTri,2019/01/24,347463,69527,22732,81718,25593,16343,42142,60843,54946,46692,26036,29660,2246,2339,8685,7596,605,09
QuangTri,2019/01/17,483645,47295,98408,43214,98059,52828,45843,14125,77716,20694,12877,79288,2168,5918,1131,8032,908,72
QuangTri,2019/01/10,384058,12477,66402,62153,27828,84978,56995,35176,26986,19097,94415,88220,1511,8762,2906,5177,161,04
QuangTri,2019/01/03,579665,91323,13013,68067,32405,37182,88146,06770,83465,47430,44273,90154,6687,3050,2880,3872,288,99
QuangTri,2018/12/20,992959,04657,34801,03913,03783,37893,07472,52132,21286,86947,46733,54524,7903,5157,7204,3187,439,23
QuangTri,2018/12/06,636884,49700,17103,11327,41905,74901,96103,82396,62941,38451,12820,22096,2627,2215,5469,5202,228,07
QuangTri,2018/11/29,287057,00828,04093,32422,14328,97891,96429,26334,29575,89087,86038,48895,2771,6683,3236,5399,317,85
QuangTri,2018/11/22,202236,04717,60487,83988,28424,57207,75552,67384,59799,73618,96033,90794,5600,4967,2896,2470,608,40
QuangTri,2018/11/15,571293,69906,06877,58087,37495,53119,28554,97283,04181,60220,61124,90212,3240,8464,6144,3569,959,86
QuangTri,2018/11/08,581619,10360,46929,62691,53339,22019,71147,90258,82700,15402,54450,36772,7029,1617,7348,2261,232,79
QuangTri,2018/11/01,800850,99486,42492,59717,16222,34344,67629,47398,38739,37035,36814,47496,6478,5880,6773,9166,817,04
QuangTri,2018/10/25,848959,96306,82792,33338,96902,48366,31873,03381,09899,56617,42156,83659,9119,6370,6865,0131,361,35
QuangTri,2018/10/18,665374,75726,09164,09780,19688,90956,74539,95754,46381,26718,49410,94548,1347,5398,8562,0818,595,95
QuangTri,2018/10/11,361952,77563,66051,88289,15305,17307,65312,23763,27671,74794,02514,74375,6208,6549,9164,0954,096,85
QuangTri,2018/09/27,005246,25708,65510,32270,33158,67142,78697,41185,28421,11180,11723,51343,8354,6736,6533,0642,302,85
QuangTri,2018/09/20,453400,45596,09362,59685,84818,73893,06205,98497,58252,13292,96561,47844,7077,2069,4314,7423,129,80
QuangTri,2018/09/06,997145,42016,86141,53840,74706,56144,15931,45032,56636,12766,75341,51915,3095,1700,7998,5814,668,31
QuangTri,2018/08/30,945066,03598,15616,45577,70050,05807,65203,47350,57914,90858,72732,04911,7361,5832,6905,4678,839,31
QuangTri,2018/08/23,892753,68683,76368,26960,35683,97047,61835,73818,94117,21397,15678,00633,2967,9974,6543,3986,738,35
QuangTri,2018/08/16,849325,32172,28894,74316,21685,17652,17458,11985,86746,20251,12164,48115,6146,4608,3395,8382,327,13
QuangTri,2018/08/09,289062,50778,58352,70759,02782,33730,76257,12510,07561,04492,82078,33081,2243,1135,2090,6951,533,66
QuangTri,2018/07/26,886144,46472,15857,01804,50746,83039,33226,18013,19299,04938,29381,88692,0275,4549,3961,1093,033,18
QuangTri,2018/07/19,454971,09175,23421,68684,72466,54224,93267,91245,92315,70284,78503,87189,0951,7962,3084,1961,213,11
QuangTri,2018/07/12,167124,05727,72583,14320,67224,87608,05855,29297,06282,16467,02300,35835,1790,7102,5701,8191,184,99
QuangTri,2018/07/05,891481,37425,97548,84291,79086,01630,96857,67400,02038,44467,87178,48905,8375,8166,3444,3716,099,19
QuangTri,2018/06/28,237705,80438,55246,76391,87902,76436,17965,93687,71172,61112,63320,11972,7583,7316,5629,0378,797,25
QuangTri,2018/06/21,716224,41118,62710,89069,61755,67026,69013,91826,67503,55101,42413,86352,9143,3110,4179,0819,634,32
QuangTri,2018/06/14,710711,38772,53061,54130,02825,09703,79748,89168,71738,44591,14324,16781,6359,4538,8545,3754,069,37
QuangTri,2018/06/07,121346,15351,33565,78593,84180,78896,83899,26159,62660,29555,48288,17361,0323,2619,0142,5974,047,92
QuangTri,2018/05/31,546154,44758,20892,71512,55187,47546,33191,33577,66961,98129,44759,68933,0122,9750,7064,8142,049,39
QuangTri,2018/05/24,758265,20152,42340,27142,93838,98381,65918,34831,79804,81925,17905,46113,4220,0440,4475,2413,758,88
QuangTri,2018/05/15,172742,97873,02119,11610,66234,61804,13593,22981,92617,69655,74344,71732,4261,5717,0601,3533,046,81
QuangTri,2018/05/10,601279,42905,32345,20784,53942,68358,83659,71637,85186,90530,67682,38937,1612,4177,2476,5331,228,35
QuangTri,2018/05/03,730554,94850,82951,18523,22046,46166,33657,48827,51271,95029,41997,58610,0817,8071,8719,4860,900,30
QuangTri,2018/04/26,941451,05039,40302,23287,49430,05736,98702,65952,69395,25876,83362,52261,6103,0357,1690,2308,517,67
