"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
TayNinh,2019/07/25,802307,32511,51325,15707,96772,19176,97042,84374,31762,34073,32358,54757,0651,2307,6187,7711,058,46
TayNinh,2019/07/18,709187,63670,95098,24606,29425,31217,56711,25208,75849,17870,77806,73191,6047,1441,9293,7666,196,95
TayNinh,2019/07/11,155832,98197,17020,86710,35309,89263,06080,87897,89396,13494,05916,34204,2214,7723,0943,1791,540,09
TayNinh,2019/07/04,416616,16226,84907,44000,41402,24963,01856,80109,08562,64883,85350,73233,8141,0168,8915,1645,606,49
TayNinh,2019/06/27,740467,76649,67196,64591,41880,62337,70931,62665,92864,94884,42972,44440,3592,6805,7897,5143,386,35
TayNinh,2019/06/20,634882,96312,86372,06924,36553,50275,57169,94151,00061,32089,81995,93194,9054,5576,5060,8423,978,93
TayNinh,2019/06/13,746188,15548,29476,97982,98770,73969,65685,09552,19102,10280,61079,95817,0756,7075,1708,1460,576,54
TayNinh,2019/06/06,168937,30939,46698,35032,82101,68833,31348,38450,39922,66429,92144,51056,6164,9696,2346,5288,823,70
TayNinh,2019/05/30,037093,07165,24979,93126,07196,27807,15632,77549,52642,36147,00462,68024,6787,5202,1456,9567,013,06
TayNinh,2019/05/23,144396,69199,47567,57934,51927,05731,31304,47183,80054,47730,98057,57962,7359,6370,5001,3660,721,10
TayNinh,2019/05/16,154469,10237,65791,48062,13555,37337,26727,94330,94547,59634,61602,01026,2428,9599,6393,0783,682,03
TayNinh,2019/05/09,555910,41870,51103,38583,89692,67280,45970,79386,28416,81340,17416,66451,1731,5873,8062,2096,044,73
TayNinh,2019/05/02,301703,69147,88784,48017,41403,12111,11970,45650,46953,12593,98927,17762,6905,5424,4990,2491,788,17
TayNinh,2019/04/25,584482,91382,49655,20540,21375,67904,35895,94423,15208,56413,16702,55043,1155,1421,9674,8807,784,71
TayNinh,2019/04/18,433425,99217,45677,82103,15396,71679,01094,25035,88696,97314,47577,56824,7578,9017,6910,9760,084,23
TayNinh,2019/04/11,295216,04842,82369,70499,91557,46907,38472,68891,90862,03389,62655,27181,1337,7473,8441,6469,690,32
TayNinh,2019/03/28,932855,90468,81699,48978,50522,84474,27898,38454,41576,52324,97486,17958,0840,1503,1986,1075,826,09
TayNinh,2019/03/21,818548,51215,85153,91762,48704,04625,17322,44479,23683,87093,23513,85680,2930,6075,9947,8232,165,10
TayNinh,2019/03/14,434743,55937,06636,86388,87750,13799,36369,07570,49683,16954,80969,51214,1135,5191,0626,4945,072,18
TayNinh,2019/03/07,797741,02759,84053,48155,53496,58607,95075,18326,98121,04331,92235,49397,2422,1611,5281,7564,509,08
TayNinh,2019/02/28,362211,67151,24221,68953,24003,17912,66450,97353,35818,51989,36048,82665,8596,4239,9052,3751,653,30
TayNinh,2019/02/21,705826,40091,59856,64651,50244,16452,94756,73523,56061,68339,85285,72798,2057,0344,4751,4671,897,96
TayNinh,2019/02/07,580429,59484,46970,44566,36769,95098,17754,48513,66011,23581,44444,32051,5457,2493,8875,6653,232,39
TayNinh,2019/01/31,878544,81088,19939,20947,78146,29249,98416,41278,27342,21445,66635,88349,0228,0890,3967,6144,952,59
TayNinh,2019/01/24,469594,04831,04282,86549,14913,51802,23461,98551,79063,02332,81071,06668,4496,1439,4413,5575,921,27
TayNinh,2019/01/17,371926,94405,54570,49358,71977,46418,48237,01405,21957,97761,24124,16187,4127,6573,5126,3235,513,45
TayNinh,2019/01/03,603818,89485,76132,22822,30797,22800,94542,19334,87907,73971,43915,23519,1602,5480,4377,7793,393,85
TayNinh,2018/12/20,348118,84743,21515,05929,75054,58325,32983,18781,20629,79326,89621,42600,6542,9806,7717,9260,112,99
TayNinh,2018/12/13,256128,65135,03262,48727,51997,24786,80887,95701,52901,87027,94625,71399,1610,7930,5287,1904,783,34
TayNinh,2018/12/06,156638,39802,70138,30607,54126,27815,84968,29465,53138,58145,31500,68985,2474,7242,7853,4630,196,32
TayNinh,2018/11/29,241590,06250,03261,91941,13202,22117,84576,11595,57228,72255,54817,19868,3808,2581,4468,2944,733,70
TayNinh,2018/11/22,693372,63864,62427,29671,79982,68395,50417,51973,58406,70006,20441,23706,0789,7186,3199,2604,432,56
TayNinh,2018/11/15,282969,55463,20310,71490,96061,49488,44469,41200,42167,50395,27720,84388,7115,9796,8974,2075,082,72
TayNinh,2018/11/08,050701,81900,63108,89561,14175,07562,76236,66278,18382,60699,89496,09038,5703,2380,2111,0304,748,30
TayNinh,2018/11/01,795008,71453,25284,04548,01912,61436,62414,04692,19546,06797,52652,94347,1835,2182,0366,9020,752,86
TayNinh,2018/10/25,255468,19030,08901,78879,68109,40251,92896,38861,54705,28068,68634,34138,2566,3553,4007,8999,580,21
TayNinh,2018/10/18,974218,24334,65872,64424,35496,96028,66422,33161,51860,94886,83492,87250,8502,8985,9131,3305,753,43
TayNinh,2018/10/11,312948,07984,85614,15161,70156,05236,79052,20497,94235,92162,46213,29033,1920,4076,8475,8584,622,45
TayNinh,2018/10/04,406093,70844,28996,94081,41817,58349,70929,53921,88997,22790,12443,48447,6224,5580,7883,8938,151,90
TayNinh,2018/09/27,321896,89786,11661,34356,47970,45998,09245,23404,68722,22300,43586,56612,1855,8410,9161,9727,169,48
TayNinh,2018/09/20,263285,86704,02857,37302,99287,24293,46559,99712,03529,06113,15606,89134,5481,3652,9099,6821,913,60
TayNinh,2018/09/13,234699,27647,66581,53151,16152,01015,32474,09401,64818,24664,61599,06742,2710,3031,1459,5802,148,26
TayNinh,2018/09/06,863216,73290,79441,23794,84022,59313,36777,27077,89346,55456,46651,18819,5395,1560,5003,1740,441,68
TayNinh,2018/08/30,311623,45431,25812,76524,60854,81465,21634,80481,64475,47847,67182,12140,7428,8837,9534,9446,430,70
TayNinh,2018/08/23,939863,46370,21565,36102,05394,17865,01451,66363,35265,85703,12596,74133,1610,3144,7399,7808,732,60
TayNinh,2018/08/16,974717,35318,91042,68374,13468,48462,99946,26516,64506,97108,42059,74226,5689,7404,3779,4801,236,63
TayNinh,2018/08/09,319790,82714,47940,41246,79881,25649,31109,44105,07207,39751,16455,00828,4377,8387,6721,4355,631,20
TayNinh,2018/07/26,929814,17613,45474,86608,01270,00815,41529,90541,17081,17804,08825,88323,2411,7188,2822,5060,103,92
TayNinh,2018/07/19,019629,91278,28990,13253,68007,56728,51765,61907,45662,39498,73304,40652,2673,2383,2621,3103,111,09
TayNinh,2018/07/12,930945,42216,47776,35486,50726,34691,80585,24786,69588,78722,40471,55065,2179,0802,6753,5156,084,44
TayNinh,2018/07/05,557238,49316,49939,37593,12812,62010,34983,39952,02996,11528,53051,40501,4288,8840,1991,9114,490,23
TayNinh,2018/06/28,834267,55069,57264,74139,29950,86606,56139,41393,16367,62385,06340,91425,0525,0631,8912,3242,159,98
TayNinh,2018/06/21,128772,70428,99613,96666,06111,22311,44352,37957,22300,55441,09036,36459,8192,2113,9906,8955,216,21
TayNinh,2018/06/14,160628,20581,51328,75213,43834,04593,49681,13122,75265,47257,42886,08337,2908,6521,9566,2425,503,26
TayNinh,2018/06/07,501566,99477,83283,62868,44444,32358,72143,47148,52704,21514,78632,81665,6117,4170,0819,6348,173,56
TayNinh,2018/05/31,719267,41419,02209,03547,05164,14504,46474,09096,81406,60675,24380,46519,4906,6900,0917,3345,181,69
TayNinh,2018/05/24,598291,85282,47429,38847,18065,15934,29619,04654,96746,41170,98994,89288,3702,8908,6583,8954,586,60
TayNinh,2018/05/17,268378,27535,31074,23103,72148,69375,10092,59277,86682,56008,38743,96116,3379,3518,0591,6093,967,88
TayNinh,2018/05/03,281533,23176,82382,32127,39143,31471,50394,77260,02009,22903,97308,89899,5423,4239,3652,9645,767,83
TayNinh,2018/04/26,434112,74949,14690,90649,15646,76444,11187,00395,22880,49301,04512,36088,0359,9432,4348,3548,839,46
TayNinh,2018/04/19,039146,13376,22834,59611,07396,42256,53537,32806,51307,65810,82749,87994,5784,6096,4991,4444,756,53
TayNinh,2018/04/12,756582,71253,16732,34368,29441,62583,90483,76630,43069,18671,40597,94890,0109,8364,6157,5122,536,20
TayNinh,2018/04/05,212706,35583,04754,87129,04415,91803,99711,16945,47932,18132,48189,80168,4692,4132,5905,1180,862,77
TayNinh,2018/03/29,091415,79329,47341,55918,80228,12461,43545,18817,97714,64098,07052,19123,0660,5432,4442,1032,627,11
TayNinh,2018/03/22,469617,14703,48958,34079,15324,58750,88089,91348,10801,12585,28574,10744,0915,6536,8425,3963,521,37
TayNinh,2018/03/15,476705,91030,97189,40714,53259,14274,32545,48822,82768,27250,12756,93946,4823,4945,1597,3615,460,94
TayNinh,2018/03/08,590147,10993,80503,92162,36018,07044,95334,36162,85663,06895,50759,91655,6498,8884,3052,7592,583,54
TayNinh,2018/03/01,134302,87606,93283,92331,66891,00969,02855,89632,83603,96766,69650,38313,6166,1656,9627,6144,323,74
TayNinh,2018/02/22,317773,78825,99418,75931,55425,76849,00605,59073,01629,46468,41436,22713,6322,6188,1213,0004,028,69
TayNinh,2018/02/15,009059,13846,87471,74983,21502,93831,57150,95981,35128,04088,05344,62766,3395,6868,1549,8170,510,33
TayNinh,2018/02/08,086030,25099,01205,91458,98261,32477,45734,37535,78903,71238,11106,91653,1234,5278,2450,6878,931,92
TayNinh,2018/02/01,968311,16241,87024,16847,38243,10935,61219,16775,05139,01768,90563,15279,2704,4342,8866,0035,475,94
