"name","created_date","giai_dac_biet","giai_nhat","giai_nhi","giai_ba_1","giai_ba_2","giai_tu_1","giai_tu_2","giai_tu_3","giai_tu_4","giai_tu_5","giai_tu_6","giai_tu_7","giai_nam","giai_sau_1","giai_sau_2","giai_sau_3","giai_bay","giai_tam"
ThuaThienHue,2019/07/22,871125,70197,96919,27343,32659,15364,28839,38656,44543,72456,39706,96590,0517,9441,3601,9736,887,95
ThuaThienHue,2019/07/15,578805,04299,55294,73900,73210,98129,76594,36090,52224,90816,07070,13448,7231,2985,6340,6119,946,17
ThuaThienHue,2019/07/01,547501,79917,67656,93036,74611,95793,05768,81636,56447,59727,99486,64191,7804,5236,0670,7444,220,62
ThuaThienHue,2019/06/24,971585,05037,71867,44039,15376,43164,75373,93749,35260,40887,11615,71339,4010,1917,0145,9543,793,47
ThuaThienHue,2019/06/17,070963,80534,01317,68568,97369,85666,27374,93620,50035,88527,50545,91865,3037,8341,1422,0226,584,62
ThuaThienHue,2019/06/10,268217,12114,77517,38393,72197,23521,60058,93106,32413,00646,38163,60075,2200,4051,3777,1329,292,50
ThuaThienHue,2019/06/03,619156,04581,78816,61244,67392,64805,57661,12046,51433,04619,81865,17324,0844,6871,0560,1444,230,05
ThuaThienHue,2019/05/20,837951,67698,66515,47151,00859,18901,96192,70573,07597,75145,12204,29440,2531,0385,5015,1159,635,81
ThuaThienHue,2019/05/13,066198,08773,32546,32830,31911,28537,17736,00916,50839,48186,59113,07880,1079,5717,3775,6819,279,14
ThuaThienHue,2019/05/06,305846,44127,23869,50591,74904,43923,13056,75806,97521,92404,52567,02914,7096,2542,8996,1060,715,91
ThuaThienHue,2019/04/29,080043,13812,20241,70903,17073,78189,50352,43375,07034,74526,25451,51894,1340,1919,9543,4965,730,66
ThuaThienHue,2019/04/22,188864,86127,20352,24461,64261,74189,07530,73981,10442,62295,93407,99203,1416,0715,6115,7273,944,29
ThuaThienHue,2019/04/08,940335,09268,84767,03341,93043,92701,66519,99838,68172,42250,86665,72318,4842,1366,9376,4720,013,12
ThuaThienHue,2019/04/01,990073,55478,95274,64747,37377,88848,97732,35578,92321,02972,24780,25544,5764,4411,4262,8641,529,50
ThuaThienHue,2019/03/25,250419,21780,90767,83814,12379,83528,06026,50974,60380,01116,63864,95538,2330,5887,4756,9934,389,48
ThuaThienHue,2019/03/18,760625,70241,47432,24579,66863,94277,49338,43772,70756,98078,46989,68162,8573,9622,9555,2615,164,00
ThuaThienHue,2019/03/11,543114,65274,91606,72290,69844,49801,99427,97820,60945,46659,26106,05490,7385,0789,8423,0539,017,50
ThuaThienHue,2019/03/04,472124,78303,98975,63417,38113,12721,31680,41652,47232,21676,88637,21755,2039,1654,9690,2413,241,56
ThuaThienHue,2019/02/25,668590,56845,08467,67417,17545,43727,91746,16650,27610,39686,18247,68473,5137,5027,2143,1957,537,74
ThuaThienHue,2019/02/18,969577,29404,02513,15452,73811,23550,37362,27181,09308,86621,50592,03337,0504,6198,5323,5866,023,97
ThuaThienHue,2019/02/11,434320,52262,11344,11287,20790,31687,70653,62153,80397,71527,33493,97951,5005,6227,1238,2564,458,25
ThuaThienHue,2019/02/04,502579,56977,06657,76959,49698,13469,96275,25227,58506,99865,44202,08769,3623,3232,9603,0955,108,14
ThuaThienHue,2019/01/28,941612,14997,84584,56671,52038,40494,37108,10530,34474,78346,56747,89182,1200,2145,6522,0057,742,48
ThuaThienHue,2019/01/21,967790,29697,09612,86649,51545,82138,12076,38304,88981,33897,57311,71479,9641,5397,3183,2849,517,21
ThuaThienHue,2019/01/14,032094,27684,01430,95454,68273,40721,84959,60032,76800,63521,34308,38250,6966,4682,4786,6085,658,54
ThuaThienHue,2019/01/07,087343,64076,73298,42729,72836,32598,96383,33826,27619,62633,45469,83581,5983,8646,0132,4455,469,81
ThuaThienHue,2018/12/31,513219,03499,23646,51710,55450,71229,55641,68610,25184,87568,36083,74269,5138,3220,3534,3692,870,56
ThuaThienHue,2018/12/24,280802,08420,09479,29051,72094,02942,80228,61127,70515,93202,82448,43670,4259,7997,0135,2542,062,52
ThuaThienHue,2018/12/17,369904,87169,44777,24746,67528,23596,40721,85818,25288,50224,51413,67411,3795,0556,6716,8210,708,12
ThuaThienHue,2018/12/10,887976,84161,80214,68370,06363,23187,06482,61558,47883,63056,79547,97809,0753,6729,7525,3111,045,98
ThuaThienHue,2018/11/26,780323,51616,30162,30398,91274,64380,48653,25061,84566,04482,60130,01343,4174,6260,3995,8140,269,49
ThuaThienHue,2018/11/19,766403,80114,75359,56103,95520,29465,22693,48998,21734,42237,29547,51953,6640,9205,1877,4821,962,23
ThuaThienHue,2018/11/12,402469,79655,48442,83394,91987,61508,74333,90357,28773,31835,46978,87997,0550,3424,7342,2304,074,24
ThuaThienHue,2018/11/05,101059,16728,94145,79959,66025,95688,49082,17841,54921,96169,18274,60510,7213,8850,2617,6814,608,60
ThuaThienHue,2018/10/29,065667,84290,51351,67964,07301,24906,17922,30469,91697,83520,00127,46964,0083,8575,9410,0400,348,89
ThuaThienHue,2018/10/22,505155,29783,62147,75091,84096,66991,72383,28530,12130,40949,29051,81784,0050,7903,0706,7992,538,95
ThuaThienHue,2018/10/15,257587,30899,64993,65011,89978,03461,19274,97306,09463,43078,47202,41005,5268,4785,2917,6445,741,26
ThuaThienHue,2018/10/08,863098,69994,47732,44183,69404,43029,12315,22526,96176,62466,06053,73035,8187,4697,5389,2840,044,15
ThuaThienHue,2018/09/24,640656,48586,70062,37629,85611,53133,18044,51090,69664,68592,13360,31744,1374,7769,4704,1416,906,07
ThuaThienHue,2018/09/17,190010,70912,96660,15897,91688,28210,39719,39278,36643,61899,64466,28439,9105,1865,7024,1707,627,49
ThuaThienHue,2018/09/10,840693,58585,07947,80468,29337,54612,09729,83728,98886,87279,59399,94425,5251,3799,7735,9584,763,48
ThuaThienHue,2018/09/03,099297,94618,03592,67691,97713,57228,06439,45165,36616,70217,19074,60825,2771,9348,2993,9150,073,75
ThuaThienHue,2018/08/27,476089,57353,56443,08286,76590,64666,89010,04547,66087,74463,58369,02324,4140,8632,3266,5791,021,10
ThuaThienHue,2018/08/20,778369,73595,08890,73712,18092,04301,53792,78709,06834,43572,47717,79281,3504,0175,0043,6624,798,99
ThuaThienHue,2018/08/13,608452,11764,42556,53228,30703,53469,87427,03468,61252,86855,40007,43787,1695,1400,3360,5811,378,51
ThuaThienHue,2018/08/06,601466,88482,81784,94482,86525,35640,19877,98688,40230,23661,20894,76610,5131,3566,0823,9963,061,72
ThuaThienHue,2018/07/30,269191,62905,27794,70213,62863,11955,08030,69856,80347,85190,45825,27987,4855,7566,7216,7471,147,47
ThuaThienHue,2018/07/23,626397,22704,59403,66238,40914,60727,17143,07165,92850,05816,06939,35762,9342,0404,9888,4132,233,47
ThuaThienHue,2018/07/16,151219,20369,82494,92769,11414,57537,42637,45768,27430,19269,90243,85022,8097,8043,8867,6182,956,47
ThuaThienHue,2018/07/02,862425,58635,21283,69303,13175,40350,57203,42114,33257,76067,58334,22649,0166,1280,0548,6851,067,17
ThuaThienHue,2018/06/25,784510,52604,46740,45953,63764,62688,84881,36106,37143,10853,11932,59304,6601,4357,0518,4134,118,78
ThuaThienHue,2018/06/18,622943,95302,46061,32740,56623,82939,85544,43134,37096,41687,34208,28416,9537,1274,5386,5693,680,33
ThuaThienHue,2018/06/11,721396,06466,77832,75927,12400,35187,33883,94888,67390,53805,68876,21336,0403,5061,7900,6051,392,93
