"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
TraVinh,2019/07/26,730000,15098,79241,62972,37931,71765,21933,24108,83211,32772,85166,59261,8439,8907,6914,5332,371,24
TraVinh,2019/07/19,723614,25407,73483,63910,58181,31642,52490,72575,06601,66666,87246,27713,9567,3734,2101,5375,455,74
TraVinh,2019/07/12,940657,62518,84971,23397,97487,76086,46524,06199,21675,12306,55005,80918,3354,3641,4779,3351,779,94
TraVinh,2019/07/05,792299,11493,57272,87179,63689,78266,63230,62314,33810,56571,54924,58405,0598,5028,0677,3516,205,97
TraVinh,2019/06/21,125806,70884,88192,94865,55805,04023,35000,07757,90692,08755,18025,93478,4063,1421,7695,5819,414,20
TraVinh,2019/06/14,393591,71831,44439,58734,94033,58805,68361,28256,42466,30264,66479,94950,2205,6823,7216,3387,982,55
TraVinh,2019/06/07,155608,06823,55490,79342,00419,01379,13212,53793,79711,82543,29399,16274,0778,5121,6413,2085,350,89
TraVinh,2019/05/31,653395,60124,66575,47772,56669,36940,45519,57009,44495,57030,32623,25503,0456,1170,3359,2207,510,50
TraVinh,2019/05/24,169976,27310,90074,88622,16226,42210,42653,51762,73219,30450,88753,38603,5191,7290,4080,0220,733,51
TraVinh,2019/05/17,924653,29258,73452,23612,56247,10477,65822,07563,99414,04077,49965,43935,0371,8392,8925,4243,525,21
TraVinh,2019/05/10,438613,29326,36250,12368,23351,95688,06571,75057,15824,72601,89340,26736,4103,7444,2006,9975,809,57
TraVinh,2019/05/03,263732,78694,89743,61752,74611,40711,17366,68504,76353,36778,92745,34322,2170,4918,4461,5549,513,47
TraVinh,2019/04/26,359857,44316,47801,67653,62103,63917,82748,73470,56612,47902,45635,78985,4327,8655,0260,3710,410,66
TraVinh,2019/04/19,165040,81059,97729,37439,30784,08857,50380,04905,67393,38158,89003,21907,4447,5263,3782,6659,860,75
TraVinh,2019/04/12,914200,35693,14265,39621,36480,14666,63590,96925,03124,63883,50377,38245,0274,4866,9537,2850,371,94
