"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
VinhLong,26/07/2019,208962,28387,36507,60950,55445,39082,57986,26820,58588,91761,81994,48514,2486,6308,5773,9832,290,01
VinhLong,19/07/2019,751878,68869,75959,20871,06936,36129,53002,54982,38734,12305,04284,27032,1664,9842,5232,0877,886,80
VinhLong,12/07/2019,228974,99497,87230,92976,16517,15899,63989,15279,08408,14178,32797,32468,8963,5037,2072,8420,905,306
VinhLong,05/07/2019,124024,73212,64605,97098,37493,72918,26051,02956,35367,50836,55573,16607,8649,7323,1340,1589,371,10
VinhLong,21/06/2019,301759,24208,88092,92813,27750,33342,28247,04985,66607,95553,73057,90405,9405,2682,6514,3920,482,38
VinhLong,14/06/2019,716487,90733,78420,69834,24511,16536,34558,70328,92184,55849,03502,65325,1357,1436,8308,5729,532,84
VinhLong,07/06/2019,006403,16421,14994,29767,40755,85189,20096,99625,26184,18897,36607,49271,1146,2184,6011,9033,841,73
VinhLong,31/05/2019,210229,78500,05108,82017,07606,16608,62601,68600,59509,30752,40340,38034,2157,1914,4533,3185,882,73
VinhLong,24/05/2019,111717,94644,48504,44427,87955,00879,67230,36713,36440,28055,76195,54087,4883,5266,1856,3746,805,17
VinhLong,17/05/2019,236858,70080,10282,82780,97294,88329,35921,52818,78085,33146,79060,84304,7922,0621,5835,9585,327,28
VinhLong,10/05/2019,364685,29299,35483,98864,08465,02339,38104,40500,12036,51345,60818,38611,3036,9948,5692,4380,225,32
VinhLong,03/05/2019,902341,48293,49868,10662,27942,37025,44305,04741,02677,83613,12083,12991,5686,3509,5994,8144,446,43
VinhLong,26/04/2019,458108,15487,81124,24746,05667,40181,69122,43118,27814,56691,17066,60892,0203,1803,8470,0581,387,61
VinhLong,19/04/2019,546447,37599,86082,78186,09188,59565,90053,28399,36131,48254,66806,78681,6410,9356,7710,4447,974,91
VinhLong,12/04/2019,809019,24739,66286,57391,81105,16721,29060,98502,77933,65665,83608,43322,4666,3890,0818,2081,664,07
VinhLong,29/03/2019,542595,79218,90735,22517,72714,26618,26624,06379,37342,24916,16098,79700,5504,9409,7061,3106,888,21
VinhLong,15/03/2019,450835,71251,93792,80513,90663,99663,72365,94331,72530,32320,45303,40514,7267,4076,3438,4120,029,48
VinhLong,08/03/2019,963913,12444,22517,73685,84208,28584,12633,54973,90939,09007,62190,23947,8568,3488,0826,9020,020,28
VinhLong,01/03/2019,685957,09288,55480,26043,29880,81552,05893,25773,96905,04975,00495,46004,4535,4088,2005,9804,327,57
VinhLong,22/02/2019,453099,03106,11478,43668,12263,39088,22198,43814,30400,64856,88438,23331,1761,6498,2500,4291,718,09
VinhLong,15/02/2019,375067,21841,86910,65741,52480,27286,86180,82195,82326,39215,96960,62156,4072,9968,2846,8957,259,63
VinhLong,08/02/2019,014332,39840,88406,33488,63999,36933,80249,90413,97193,62718,91987,64387,1072,4284,4072,9060,098,74
VinhLong,18/01/2019,461407,98073,84729,35347,03590,60394,32976,26028,95969,80454,86910,23571,2442,8853,7259,8196,991,40
VinhLong,11/01/2019,036299,34834,03262,51068,28584,89828,98052,14614,09123,51360,21399,77279,7697,9823,7385,7446,979,14
VinhLong,04/01/2019,459760,20308,41001,61670,90795,23778,75845,42188,20034,93557,35289,23721,8872,5197,1056,3154,530,68
VinhLong,28/12/2018,597303,87368,89200,97416,97890,83491,77438,49536,32896,67149,66105,17069,6941,0556,3199,4185,482,04
VinhLong,21/12/2018,941106,94339,42664,90304,72404,81142,53878,23336,42432,18320,11279,16716,4581,0183,3353,2140,972,97
VinhLong,14/12/2018,687325,77925,07210,27959,34137,81385,43239,24376,02430,08708,36887,91882,7244,6955,9568,5622,836,21
