"id","name","created_date","updated_date"
AG,An Giang,,
BL,BacLieu,,
BTR,BenTre,,
BDi,BinhDinh,,
BD,BinhDuong,,
BP,BinhPhuoc,,
BT,BinhThuan,,
CM,CaMau,,
CT,CanTho,,
DL,DacLac,,
DNo,DacNong,,
DNa,DaNang,,
DN,DongNai,,
DT,DongThap,,
GL,GiaLai,,
HG,HauGiang,,
HCM,TPHoChiMinh,,
KH,KhanhHoa,,
KG,KienGiang,,
KT,KonTum,,
LD,LamDong,,
LA,LongAn,,
NT,NinhThuan,,
PY,PhuYen,,
QB,QuangBinh,,
QN,QuangNam,,
QNg,QuangNgai,,
QT,QuangTri,,
ST,SocTrang,,
TN,TayNinh,,
TTH,ThuaThienHue,,
TG,TienGiang,,
TV,TraVinh,,
VL,VinhLong,,
VT,VungTau,,
